Key,Page,English
home.step1_title,homepage,Send us your list
home.step1_desc,homepage,"CSV, Excel, whatever you have. We've seen it all. No judgment, no questions."
home.step2_title,homepage,We review every address
home.step2_desc,homepage,"One by one. Looking for bounces, spam traps, disposables, and reputation killers."
home.step3_title,homepage,Get your clean list back
home.step3_desc,homepage,With clear labels and a report. You'll know exactly what to do with each address.
home.crisis_title,homepage,Crisis Mode?
home.crisis_cta,homepage,Email the SOS Hotline
home.final_title,homepage,Ready to know what's in your list?
home.final_cta,homepage,Get My List Cleaned
home.symptoms_title,homepage,Sound familiar?
home.symptoms_subtitle,homepage,You're not alone. These are the patterns we see every day.
home.symptom_1,homepage,<strong>No idea</strong> where half this list came from.
home.symptom_2,homepage,One tool says <strong>clean</strong>. Another says <strong>risky</strong>.
home.symptom_3,homepage,"<strong>Scared to remove</strong> subscribers, even the ones who never open."
home.symptom_4,homepage,Haven't emailed this list in <strong>months</strong>. Afraid to restart.
home.symptom_5,homepage,Paid for list cleaning <strong>yesterday</strong>. Bounces <strong>today</strong>.
home.symptom_6,homepage,Open rates <strong>dropped</strong> and nobody can explain why.
home.symptom_7,homepage,List keeps <strong>growing</strong>. Revenue <strong>doesn't</strong>.
home.symptom_8,homepage,"Emails <strong>not inboxing</strong> anymore, going to spam or nowhere at all."
home.crisis_subtitle,homepage,"If any of these are true, start here."
home.crisis_item_1,homepage,ESP sent a compliance warning or paused your sending.
home.crisis_item_2,homepage,"Blocklisted, or you think you might be."
home.crisis_item_3,homepage,Last send spiked bounces. Now everyone's afraid to send again.
home.steps_title,homepage,How we actually work
home.steps_subtitle,homepage,Simple process. Expert execution. Real results.
home.step1_number,homepage,Step 01
home.step2_number,homepage,Step 02
home.step3_number,homepage,Step 03
home.steps_whisper,homepage,No outsourcing. No AI guesswork. Just experienced eyes on every list.
home.pullquote_text,homepage,"""She cleaned and organized our database with incredible efficiency and set us up for long-term success."""
home.pullquote_author,homepage,"Sam Cande, UK"
home.manifesto_text,homepage,You've probably run your list through a tool before. It said 95% valid. You sent anyway. Bounces happened. That's the gap between validation and understanding.
home.features_title,homepage,What you actually get
home.feature1_title,homepage,Clear action labels
home.feature1_desc,homepage,"Every email marked Keep, Monitor, or Suppress. No ambiguity, no guessing what to do next."
home.feature2_title,homepage,Detailed reasoning
home.feature2_desc,homepage,"Not just 'risky', we tell you why. Spam trap patterns, domain issues, behavioral signals."
home.feature3_title,homepage,Expert interpretation included
home.feature3_desc,homepage,"Not just data, context. Every list review includes a walkthrough of your results. I explain what I found, what it means, and exactly what to do next."
home.quiz_cta_title,homepage,Not sure if your list needs this?
home.quiz_cta_subtext,homepage,"Take a 2-minute self-assessment. Four questions about how you built your list, and we'll tell you what risk level you're probably at."
home.quiz_cta_button,homepage,Take the 2-Minute Risk Check
home.testimonials_title,homepage,People who trusted us
home.testimonials_subtitle,homepage,Real feedback from real senders.
home.testimonial1_name,homepage,Megan S.
home.testimonial1_role,homepage,UK
home.testimonial1_quote,homepage,"""The SOS Hotline gave me extremely helpful guidance. Yanna-Torry cleaned our list and supported us beyond the call."""
home.testimonial2_name,homepage,Chris Mead
home.testimonial2_role,homepage,UK
home.testimonial2_quote,homepage,"""Real human expertise. Tailor-made solutions. Not an AI tool."""
home.testimonial3_name,homepage,Adeola Sole
home.testimonial3_role,homepage,UK
home.testimonial3_quote,homepage,"""RME provides deep insights our ESP misses and helped us segment smarter."""
home.final_subtext,homepage,"Send us your list. We'll tell you exactly what's safe to send, what needs watching, and what will hurt you."
home.final_footer,homepage,Most lists returned within 24 hours.
modal.contact_title,common,Get in Touch
modal.contact_subtitle,common,Tell us what you're working on. We'll get back to you within one business day.
modal.form_name,common,Name
modal.form_email,common,Email
modal.form_timezone,common,Timezone
modal.form_timezone_placeholder,common,Select your timezone (optional)
modal.form_message,common,Message
modal.form_message_placeholder,common,What can we help you with?
modal.form_message_helper,common,Optional - but helps us prepare for the conversation.
modal.form_submit,common,Send Message
modal.success_title,common,Message Sent!
modal.success_message,common,We'll get back to you within one business day.
dfy.consult_call_title,done-for-you,1:1 Call with YT
dfy.contact_first,done-for-you,Contact Us First
dfy.how_read_title,done-for-you,How I Read Your List
dfy.keep_desc,done-for-you,"No flags found. Domain checks out, validation passed, no risk signals. These are clear to send."
dfy.keep_title,done-for-you,Safe to Mail
dfy.modal_submit,done-for-you,Send Request
dfy.modal_subtitle,done-for-you,Tell us about your situation and we'll get back to you within 24 hours.
dfy.monitor_desc,done-for-you,Each address comes with specific labels explaining why it landed here. Context matters.
dfy.monitor_title,done-for-you,Yellow Flags
dfy.pricing_ask,done-for-you,Just ask
dfy.pricing_questions,done-for-you,Questions first?
dfy.read1_desc,done-for-you,"Domain behavior, history, and patterns across your entire list. Context, not just existence."
dfy.read1_title,done-for-you,I Look Beyond the Address
dfy.read2_desc,done-for-you,"Traps, role accounts, toxic domains, disposable patterns. The things that don't bounce but still hurt you."
dfy.read2_title,done-for-you,I Check What Others Miss
dfy.read3_desc,done-for-you,Not just labels. You get the thinking behind each decision so you understand why.
dfy.read3_title,done-for-you,I Explain My Reasoning
dfy.sos_cta,done-for-you,Learn About SOS Hotline
dfy.sos_desc,done-for-you,Have a question before committing? Use the SOS Hotline. It is free. No sales pitch.
dfy.sos_title,done-for-you,Not Sure Yet?
dfy.suppress_desc,done-for-you,"Each address comes with specific labels explaining why. Invalid, trap-likely, disposable, or other risk signals. Don't send here."
dfy.suppress_title,done-for-you,Do Not Mail
dfy.who_for1,done-for-you,Running campaigns but seeing declining engagement
dfy.who_for2,done-for-you,"Worried about bounces, complaints, or blocklists"
dfy.who_for3,done-for-you,Inheriting a list you did not build
dfy.who_for4,done-for-you,"Under pressure to ""just send"" but sensing risk"
dfy.who_for5,done-for-you,Trying to explain deliverability risks internally
dfy.who_for_title,done-for-you,This Is For You If
dfy.who_not1,done-for-you,You want someone to write or send campaigns for you
dfy.who_not2,done-for-you,You need ESP migration or setup help
dfy.who_not3,done-for-you,You want ongoing managed services
dfy.who_not4,done-for-you,You need content or design work
dfy.who_not_title,done-for-you,Not For You If
dfy.who_partner_cta,done-for-you,Connect With a Partner
dfy.who_title,done-for-you,Who This Is For
home.manifesto,homepage,You've probably run your list through a tool before. It said 95% valid. You sent anyway. Bounces happened. That's the gap between validation and understanding.
home.quiz_cta_btn,homepage,Take the 2-Minute Risk Check
home.quiz_cta_desc,homepage,"Take a 2-minute self-assessment. Four questions about how you built your list, and we'll tell you what risk level you're probably at."
pricing.compare_them1,pricing,Validators check if an inbox exists.
pricing.compare_them2,pricing,Validators give you a status.
pricing.compare_them3,pricing,Validators flag what bounces.
pricing.compare_them4,pricing,Validators process volume.
pricing.compare_them5,pricing,Validators leave you guessing.
pricing.compare_us1,pricing,We assess whether sending there is safe.
pricing.compare_us2,pricing,We give you the reasoning behind a decision.
pricing.compare_us3,pricing,We flag what damages your reputation without bouncing.
pricing.compare_us4,pricing,We interpret patterns across your entire list.
pricing.compare_us5,pricing,We tell you what to do and why.
modal.timezone_pt,common,Pacific Time (PT)
modal.timezone_mt,common,Mountain Time (MT)
modal.timezone_ct,common,Central Time (CT)
modal.timezone_et,common,Eastern Time (ET)
modal.timezone_gmt,common,GMT / UTC
modal.timezone_cet,common,Central European Time (CET)
modal.timezone_other,common,Other
modal.form_sending,common,Sending...
modal.form_try_again,common,Try Again
modal.form_error,common,Something went wrong. Please try again or email us directly at ahoy@reviewmyemails.com
modal.request_received,common,Request Received
modal.timezone_london,common,London (GMT/BST)
modal.timezone_singapore,common,Singapore Time
modal.timezone_sydney,common,Australian Eastern Time
modal.timezone_alaska,common,Alaska Time
modal.timezone_hawaii,common,Hawaii Time
modal.timezone_eet,common,Eastern European Time
modal.timezone_gulf,common,Gulf Standard Time
modal.timezone_india,common,India Standard Time
modal.timezone_japan,common,Japan Standard Time
modal.timezone_nz,common,New Zealand Time
dfy.process_title,done-for-you,How It Works
dfy.process_subtitle,done-for-you,Simple process. Expert execution.
dfy.step1_title,done-for-you,Send Us Your List
dfy.step2_title,done-for-you,I Read Your List
dfy.step3_title,done-for-you,Get Labeled Results Back
dfy.step4_title,done-for-you,Optional: Book a Walkthrough Call
dfy.consult_title,done-for-you,Not Sure What You Need?
dfy.consult_card,done-for-you,1:1 Call with YT
dfy.consult_cta,done-for-you,Book a Free Consultation
dfy.whofor_title,done-for-you,Who This Is For
dfy.whofor_yes,done-for-you,This Is For You If
dfy.whofor_no,done-for-you,Not For You If
dfy.whofor_partner,done-for-you,Connect With a Partner
dfy.pricing_title,done-for-you,Pricing
dfy.notsure_title,done-for-you,Not Sure Yet?
dfy.notsure_cta,done-for-you,Learn About SOS Hotline
dfy.cta_title,done-for-you,Ready to Know What's Actually In Your List?
dfy.cta_subtitle,done-for-you,"Send it over. I'll tell you what to keep, what to watch, and what to never send to again. With the reasoning behind every call."
dfy.cta_footer,done-for-you,Most lists returned within 24-48 hours.
dfy.label_keep,done-for-you,Keep
dfy.label_monitor,done-for-you,Monitor
dfy.label_suppress,done-for-you,Suppress
dfy.step1_desc,done-for-you,"CSV, Excel, whatever you have. We have seen it all. No judgment, no questions."
dfy.step2_desc,done-for-you,"Every address gets examined. Domain patterns, history, risk signals. The full picture, not just a validity check."
dfy.step3_desc,done-for-you,"Keep, Monitor, or Suppress. With the specific reasons behind each decision. You will know what to do and why."
dfy.step4_desc,done-for-you,Talk through the results with me. Understand what we found and plan your next steps.
dfy.consult_subtitle,done-for-you,"No pressure, no pitch. Let's talk through your situation and figure out if list cleaning is even the right move."
dfy.consult_badge,done-for-you,First Free Consultation
dfy.consult_card_desc,done-for-you,"Tell me what's going on with your list, your sending, your concerns. I'll give you my honest take on what you actually need—even if it's not me."
dfy.consult_duration,done-for-you,15-30 minutes. No commitment required.
dfy.consult_topics_label,done-for-you,We can discuss
dfy.consult_topic1,done-for-you,Whether list cleaning makes sense for your situation
dfy.consult_topic2,done-for-you,What's likely causing your deliverability issues
dfy.consult_topic3,done-for-you,Which service level fits your needs
dfy.consult_topic4,done-for-you,Timeline and turnaround expectations
dfy.consult_topic5,done-for-you,Questions about the process
dfy.whofor_yes1,done-for-you,Running campaigns but seeing declining engagement
dfy.whofor_yes2,done-for-you,"Worried about bounces, complaints, or blocklists"
dfy.whofor_yes3,done-for-you,Inheriting a list you did not build
dfy.whofor_yes4,done-for-you,"Under pressure to ""just send"" but sensing risk"
dfy.whofor_yes5,done-for-you,Trying to explain deliverability risks internally
dfy.whofor_no1,done-for-you,You want someone to write or send campaigns for you
dfy.whofor_no2,done-for-you,You need ESP migration or setup help
dfy.whofor_no3,done-for-you,You want ongoing managed services
dfy.whofor_no4,done-for-you,You need content or design work
dfy.testimonial_quote,done-for-you,The SOS Hotline gave me extremely helpful guidance. Yanna-Torry cleaned our list and supported us beyond the call.
dfy.testimonial_author,done-for-you,"Megan S, UK"
dfy.pricing_subtitle,done-for-you,"Volume pricing: buy more credits, pay less per credit. No contracts, no tricks."
dfy.pricing_contact,done-for-you,Questions first?
dfy.pricing_just_ask,done-for-you,Just ask
dfy.notsure_desc,done-for-you,Have a question before committing? Use the SOS Hotline. It is free. No sales pitch. Just honest answers.
pricing.hero_title,pricing,Beyond Validation. We Tell You What Your List Means.
pricing.hero_subtitle,pricing,"Not just pass/fail. Every address comes with reasoning so you know what to keep, what to monitor, and what to suppress."
pricing.output_title,pricing,What You Get
pricing.output_cleared,pricing,Cleared After Full Review
pricing.output_patterns,pricing,Patterns Worth Watching
pricing.output_risk,pricing,"Clear Risk, Clear Reasoning"
pricing.whofor_title,pricing,Who This Is For
pricing.problem_title,pricing,The Problem
pricing.value_title,pricing,What You Are Actually Paying For
pricing.options_title,pricing,Service Options
pricing.sos_title,pricing,SOS Hotline
pricing.dfy_title,pricing,Done-For-You
pricing.selfserve_title,pricing,Self-Serve
pricing.coming_soon,pricing,Coming Soon
pricing.calculator_title,pricing,Pricing Calculator
pricing.calculate_price,pricing,Calculate Your Price
pricing.get_started,pricing,Get Started
pricing.sos_section_title,pricing,SOS Email Hotline
pricing.sos_free_help,pricing,Free Email Help
pricing.sos_learn_more,pricing,Learn More About SOS Hotline
pricing.cta_title,pricing,Ready to Clean Your List?
pricing.cta_getstarted,pricing,Get My List Cleaned
pricing.cta_waitlist,pricing,Join the Waitlist
pricing.cta_freehelp,pricing,Get Free Help
pricing.faq_title,pricing,Questions?
pricing.output_subtitle,pricing,A cleaned list with clear recommendations.
pricing.output_cleared_desc,pricing,No risk patterns surfaced during review. Domain behavior and historical signals support continued sending.
pricing.output_patterns_desc,pricing,These require judgment. We surface historical patterns and relationship context. You decide how to segment based on your tolerance and goals.
pricing.output_risk_desc,pricing,"Clear risk signals: known problem domains, disposable patterns, historical trap indicators. Each address includes the specific flags that earned suppression. You will know exactly why."
pricing.output_note,pricing,Every decision comes with the reasoning behind it. This is not a pass/fail list. It is a decision-making tool built on historical domain behavior and pattern recognition.
pricing.whofor_subtitle,pricing,Marketers who already send email and want to protect their sender reputation.
pricing.whofor_note,pricing,"If you care about long-term reputation, not just short-term volume, this is for you."
pricing.whofor_item1,pricing,Running campaigns but seeing declining engagement
pricing.whofor_item2,pricing,"Worried about bounces, complaints, or blocklists"
pricing.whofor_item3,pricing,Inheriting a list you did not build
pricing.whofor_item4,pricing,"Under pressure to ""just send"" but sensing risk"
pricing.whofor_item5,pricing,Trying to explain deliverability to a boss who does not get it
pricing.badge_deliverable,pricing,Deliverable
pricing.badge_undeliverable,pricing,Undeliverable
pricing.badge_risky,pricing,Risky
pricing.badge_unknown,pricing,Unknown
pricing.problem_intro,pricing,Most list cleaning tools give you a status and leave you guessing. That tells you what to remove. It does not tell you what is actually wrong.
pricing.problem_q1,pricing,Why is engagement dropping?
pricing.problem_q2,pricing,Why are complaints rising?
pricing.problem_q3,pricing,"Is it the list, the sending, or both?"
pricing.problem_q4,pricing,Which addresses are actually hurting me?
pricing.problem_q5,pricing,What patterns should I watch for?
pricing.problem_q6,pricing,"What should I do about the ""risky"" ones?"
pricing.problem_footer,pricing,We give you the context to answer those questions.
pricing.value_subtitle,pricing,The difference between checking and interpreting.
pricing.badge_guidance,pricing,Guidance
pricing.badge_execution,pricing,Execution
pricing.badge_automation,pricing,Automation
pricing.learn_more,pricing,Learn more →
pricing.dfy_desc,pricing,"Send us your list. We process it, label every address, and return results with clear reasoning."
pricing.dfy_status,pricing,You get the decisions made for you. Available now.
pricing.get_started_arrow,pricing,Get started →
pricing.selfserve_desc,pricing,"Upload your list. Download results. Same methodology as done-for-you, but you run it yourself."
pricing.selfserve_status,pricing,Coming soon. Join the waitlist to get notified.
pricing.join_waitlist,pricing,Join Waitlist
pricing.newsletter_checkbox,pricing,"Monthly deliverability insights (no spam, just signal)"
pricing.free_credits,pricing,"+1,500 free credits"
pricing.waitlist_success,pricing,You're on the list! We'll notify you when self-serve launches.
pricing.options_note,pricing,SOS tells you what to think about. Done-for-you does the thinking for you. Self-serve lets you do the thinking yourself.
pricing.calculator_subtitle,pricing,Pay only for what you need. Credits never expire.
pricing.calculator_intro,pricing,"Simple. More volume, lower rate."
pricing.how_many_emails,pricing,How many emails?
pricing.emails_unit,pricing,emails
pricing.price_per_email,pricing,Price per email
pricing.total,pricing,Total
pricing.calculator_note,pricing,Need more than 1 million?
pricing.volume_pricing,pricing,Volume Pricing
pricing.list_size,pricing,List Size
pricing.per_email,pricing,Per Email
pricing.sos_section_intro,pricing,Free email support for any email-related question.
pricing.sos_duration,pricing,Response within 48 hours. Usually faster.
pricing.cta_subtitle,pricing,Choose what works for you.
pricing.cta_getstarted_desc,pricing,"Done-for-you service. Send your list, get results."
pricing.cta_freehelp_desc,pricing,Email our SOS hotline with your questions.
pricing.send_message,pricing,Send us a message
pricing.response_time,pricing,We respond within 48 hours. Usually faster.
quiz.title,quiz,Is Your List Safe?
quiz.result_noconsent_headline,quiz,We can absolutely help clean your list.
quiz.result_crisis_headline,quiz,"You need triage, not just cleaning."
quiz.result_toolfailure_headline,quiz,Your validation tool missed something.
quiz.result_directlink_cta,quiz,Get My List Cleaned →
quiz.capture_title,quiz,Save your diagnosis
quiz.capture_subtitle,quiz,Get your results emailed and optionally join our waitlist for self-serve tools.
quiz.capture_newsletter,quiz,"Monthly deliverability insights (no spam, just signal)"
quiz.capture_bonus,quiz,"1,500 credits when we launch"
quiz.capture_submit,quiz,Send My Results
quiz.capture_skip,quiz,Skip
quiz.capture_waitlist,quiz,Notify me when self-serve launches
quiz.capture_contact,quiz,Have someone reach out to discuss my situation (no sales pitch)
quiz.q1,quiz,How did the majority of these emails get on your list?
