Key,English,Greek (GR),Portuguese (BR),French (FR),Spanish (ES),German (DE),Khmer (KM),Notes
home.title,"Review My Emails | Expert Email List Cleaning",,,,,,,"DO NOT TRANSLATE: Review My Emails"
home.meta_desc,"Expert email list cleaning services. Not automated validation — hands-on analysis that spots spam traps, risky contacts, and reputation killers.",,,,,,,"Keep technical terms like spam traps"
home.hero_badge,"Beyond Validation",,,,,,,"Marketing tagline - translate intent"
home.hero_headline,"Validation tools miss things. We don't.",,,,,,,"Bold, confident statement"
home.hero_subhead,"What you'll get: A cleaned list labeled Keep, Monitor, or Suppress—plus the reasoning behind each one.",,,,,,,"DO NOT TRANSLATE: Keep, Monitor, Suppress"
home.cta_primary,"Get My List Cleaned",,,,,,,"Primary CTA button"
home.cta_secondary,"Take the Free Quiz",,,,,,,"Secondary CTA link"
home.trust_quote,"I didn't realize how much of my list was dead weight until I saw the report.",,,,,,,"Customer testimonial"
home.trust_author,"— Marketing Director, SaaS Company",,,,,,,"Attribution"
home.problem_title,"Why validation tools aren't enough",,,,,,,"Section heading"
home.problem_1,"Validation says an email exists. It doesn't say if it's a trap.",,,,,,,"Problem statement"
home.problem_2,"One tool says clean. Another says risky. You're still guessing.",,,,,,,"Problem statement"
home.problem_3,"Bounces drop. Deliverability tanks. The tool said it was fine.",,,,,,,"DO NOT TRANSLATE: Deliverability"
home.how_title,"How it works",,,,,,,"Section heading"
home.step1_title,"Send your list",,,,,,,"Step title"
home.step1_desc,"CSV or Excel. Up to 500K addresses. Secure transfer included.",,,,,,,"Step description"
home.step2_title,"We review it manually",,,,,,,"Step title"
home.step2_desc,"Pattern analysis. Trap detection. Reputation risk scoring. 24-48 hours.",,,,,,,"Step description"
home.step3_title,"Get your clean list",,,,,,,"Step title"
home.step3_desc,"Every address labeled. Full explanation report. 30-minute walkthrough call.",,,,,,,"Step description"
home.deliverables_title,"What you get back",,,,,,,"Section heading"
home.deliverable1_title,"Clear Action Labels",,,,,,,"Deliverable title"
home.deliverable1_desc,"Every email marked Keep, Monitor, or Suppress. No ambiguity.",,,,,,,"DO NOT TRANSLATE: Keep, Monitor, Suppress"
home.deliverable2_title,"Expert Interpretation",,,,,,,"Deliverable title"
home.deliverable2_desc,"Context on what it means for your reputation. Not just data—understanding.",,,,,,,"Deliverable description"
home.deliverable3_title,"Walkthrough Call",,,,,,,"Deliverable title"
home.deliverable3_desc,"30-minute call to review findings and answer questions. Included in every order.",,,,,,,"Deliverable description"
home.who_title,"Who this is for",,,,,,,"Section heading"
home.who_1,"You've tried validation tools. Still landing in spam.",,,,,,,"Target audience point"
home.who_2,"You inherited a list with unknown quality.",,,,,,,"Target audience point"
home.who_3,"You're migrating ESPs and need to clean house.",,,,,,,"Keep ESPs (Email Service Providers)"
home.who_4,"You want expert eyes, not another automated report.",,,,,,,"Target audience point"
