Key,Page,English,Greek,Portuguese,French,Spanish,German,Khmer,Notes
home.title,homepage,"Review My Emails | Expert Email List Cleaning","Review My Emails | Επαγγελματικός Καθαρισμός Λίστας Email","Review My Emails | Limpeza Profissional de Lista de Email","Review My Emails | Nettoyage Expert de Liste Email","Review My Emails | Limpieza Profesional de Listas de Email","Review My Emails | Professionelle E-Mail-Listen-Bereinigung","Review My Emails | សេវាសម្អាតបញ្ជីអ៊ីមែលដោយអ្នកជំនាញ","DNT ""Review My Emails"""
home.meta_desc,homepage,"Expert email list cleaning services. Not automated validation — hands-on analysis that spots spam traps, risky contacts, and reputation killers.","Επαγγελματικές υπηρεσίες καθαρισμού λίστας email. Όχι αυτοματοποιημένο Validation - πρακτική ανάλυση που εντοπίζει spam traps, επικίνδυνες επαφές και παράγοντες που καταστρέφουν τη φήμη σας.","Serviços profissionais de limpeza de lista de email. Não é Validation automatizado - análise manual que identifica spam traps, contatos arriscados e problemas que prejudicam sua reputação.","Services experts de nettoyage de liste email. Pas de Validation automatisée - une analyse manuelle qui détecte les spam traps, contacts à risque et facteurs nuisibles à votre réputation.","Servicios profesionales de limpieza de listas de email. No es Validation automatizado - análisis manual que detecta spam traps, contactos riesgosos y factores que dañan tu reputación.","Professionelle E-Mail-Listen-Bereinigung. Keine automatisierte Validation - praktische Analyse, die Spam-Traps, riskante Kontakte und Reputationskiller aufspürt.","សេវាសម្អាតបញ្ជីអ៊ីមែលដោយអ្នកជំនាញ។ មិនមែន Validation ស្វ័យប្រវត្តិទេ - ការវិភាគដោយដៃដែលរកឃើញ spam traps ទំនាក់ទំនងប្រថុយ និងបញ្ហាដែលប៉ះពាល់កេរ្តិ៍ឈ្មោះរបស់អ្នក។","Keep ""spam traps"""
home.hero_badge,homepage,"Beyond Validation","Πέρα από το Validation","Além do Validation","Au-delà du Validation","Más allá del Validation","Über Validation hinaus","លើសពី Validation","Marketing tagline"
home.hero_headline,homepage,"Validation tools miss things. We don't.","Τα εργαλεία Validation χάνουν πράγματα. Εμείς όχι.","Ferramentas de Validation deixam passar coisas. Nós não.","Les outils de Validation ratent des choses. Pas nous.","Las herramientas de Validation pasan cosas por alto. Nosotros no.","Validation-Tools übersehen Dinge. Wir nicht.","ឧបករណ៍ Validation ខកខានរឿងជាច្រើន។ យើងមិនខកខានទេ។","Key headline"
home.hero_subhead,homepage,"What you'll get: A cleaned list labeled Keep, Monitor, or Suppress—plus the reasoning behind each one.","Τι θα λάβετε: Μια καθαρισμένη λίστα με ετικέτες Keep, Monitor ή Suppress—συν την αιτιολόγηση πίσω από κάθε μία.","O que você vai receber: Uma lista limpa rotulada Keep, Monitor ou Suppress—mais o raciocínio por trás de cada um.","Ce que vous obtiendrez : Une liste nettoyée étiquetée Keep, Monitor ou Suppress—plus le raisonnement derrière chacun.","Lo que obtendrás: Una lista limpia etiquetada Keep, Monitor o Suppress—más el razonamiento detrás de cada uno.","Was Sie erhalten: Eine bereinigte Liste mit Keep, Monitor oder Suppress—plus die Begründung für jede Entscheidung.","អ្វីដែលអ្នកនឹងទទួលបាន៖ បញ្ជីស្អាតដែលមានស្លាក Keep, Monitor ឬ Suppress—បូកនឹងហេតុផលនៅពីក្រោយនីមួយៗ។","DNT Keep/Monitor/Suppress"
home.cta_primary,homepage,"Get My List Cleaned","Καθαρίστε τη Λίστα Μου","Limpar Minha Lista","Nettoyer Ma Liste","Limpiar Mi Lista","Meine Liste Bereinigen","សម្អាតបញ្ជីរបស់ខ្ញុំ",""
home.cta_secondary,homepage,"Take the Free Quiz","Κάντε το Δωρεάν Quiz","Fazer o Quiz Gratuito","Faire le Quiz Gratuit","Hacer el Quiz Gratis","Kostenloses Quiz Machen","ធ្វើ Quiz ឥតគិតថ្លៃ",""
home.trust_quote,homepage,"""I didn't realize how much of my list was dead weight until I saw the report.""","""Δεν είχα συνειδητοποιήσει πόσο μέρος της λίστας μου ήταν νεκρό βάρος μέχρι που είδα την αναφορά.""","""Eu não percebia quanto da minha lista era peso morto até ver o relatório.""","""Je n'avais pas réalisé combien de ma liste était du poids mort jusqu'à ce que je voie le rapport.""","""No me di cuenta de cuánto de mi lista era peso muerto hasta que vi el informe.""","""Ich habe nicht gemerkt, wie viel meiner Liste totes Gewicht war, bis ich den Bericht sah.""","""ខ្ញុំមិនដឹងថាបញ្ជីរបស់ខ្ញុំមានទម្ងន់ស្លាប់ប៉ុន្មានទេរហូតដល់ខ្ញុំបានឃើញរបាយការណ៍។""",""
home.trust_author,homepage,"— Marketing Director, SaaS Company","— Διευθυντής Marketing, SaaS Company","— Diretor de Marketing, Empresa SaaS","— Directeur Marketing, Entreprise SaaS","— Director de Marketing, Empresa SaaS","— Marketing Director, SaaS-Unternehmen","— នាយកទីផ្សារ ក្រុមហ៊ុន SaaS",""
home.problem_title,homepage,"Why validation tools aren't enough","Γιατί τα εργαλεία Validation δεν αρκούν","Por que ferramentas de Validation não são suficientes","Pourquoi les outils de Validation ne suffisent pas","Por qué las herramientas de Validation no son suficientes","Warum Validation-Tools nicht ausreichen","ហេតុអ្វីបានជាឧបករណ៍ Validation មិនគ្រប់គ្រាន់",""
home.problem_1,homepage,"Validation says an email exists. It doesn't say if it's a trap.","Το Validation λέει ότι ένα email υπάρχει. Δεν λέει αν είναι παγίδα.","Validation diz que um email existe. Não diz se é uma armadilha.","Validation dit qu'un email existe. Il ne dit pas si c'est un piège.","Validation dice que un email existe. No dice si es una trampa.","Validation sagt, eine E-Mail existiert. Es sagt nicht, ob es eine Falle ist.","Validation និយាយថាអ៊ីមែលមាន។ វាមិនប្រាប់ថាវាជាអន្ទាក់ទេ។",""
home.problem_2,homepage,"One tool says clean. Another says risky. You're still guessing.","Ένα εργαλείο λέει καθαρό. Ένα άλλο λέει επικίνδυνο. Ακόμα μαντεύετε.","Uma ferramenta diz limpo. Outra diz arriscado. Você ainda está adivinhando.","Un outil dit propre. Un autre dit risqué. Vous devinez encore.","Una herramienta dice limpio. Otra dice riesgoso. Sigues adivinando.","Ein Tool sagt sauber. Ein anderes sagt riskant. Sie raten immer noch.","ឧបករណ៍មួយនិយាយថាស្អាត។ មួយទៀតនិយាយថាប្រថុយ។ អ្នកនៅតែស្មាន។",""
home.problem_3,homepage,"Bounces drop. Deliverability tanks. The tool said it was fine.","Τα bounces πέφτουν. Το Deliverability καταρρέει. Το εργαλείο είπε ότι ήταν εντάξει.","Bounces caem. Deliverability despenca. A ferramenta disse que estava tudo bem.","Les bounces chutent. La Deliverability s'effondre. L'outil disait que c'était bon.","Los bounces caen. Deliverability se hunde. La herramienta dijo que estaba bien.","Bounces sinken. Deliverability bricht ein. Das Tool sagte, es war in Ordnung.","Bounces ធ្លាក់។ Deliverability ធ្លាក់ចុះ។ ឧបករណ៍និយាយថាវាល្អ។",""
home.how_title,homepage,"How it works","Πώς λειτουργεί","Como funciona","Comment ça marche","Cómo funciona","So funktioniert es","របៀបដំណើរការ",""
home.step1_title,homepage,"Send your list","Στείλτε τη λίστα σας","Envie sua lista","Envoyez votre liste","Envía tu lista","Senden Sie Ihre Liste","ផ្ញើបញ្ជីរបស់អ្នក",""
