Key,Page,English
modal.timezone_pt,common,Pacific Time (PT)
modal.timezone_mt,common,Mountain Time (MT)
modal.timezone_ct,common,Central Time (CT)
modal.timezone_et,common,Eastern Time (ET)
modal.timezone_gmt,common,GMT / UTC
modal.timezone_cet,common,Central European Time (CET)
modal.timezone_other,common,Other
modal.form_sending,common,Sending...
modal.form_try_again,common,Try Again
modal.form_error,common,Something went wrong. Please try again or email us directly at ahoy@reviewmyemails.com
modal.request_received,common,Request Received
modal.timezone_london,common,London (GMT/BST)
modal.timezone_singapore,common,Singapore Time
modal.timezone_sydney,common,Australian Eastern Time
modal.timezone_alaska,common,Alaska Time
modal.timezone_hawaii,common,Hawaii Time
modal.timezone_eet,common,Eastern European Time
modal.timezone_gulf,common,Gulf Standard Time
modal.timezone_india,common,India Standard Time
modal.timezone_japan,common,Japan Standard Time
modal.timezone_nz,common,New Zealand Time
sos.more_title,sos-hotline,Need More Than Advice?
sos.more_dfy,sos-hotline,Done-For-You Review
sos.more_dfy_cta,sos-hotline,See What You Get
sos.more_expert,sos-hotline,Expert Interpretation
sos.final_title,sos-hotline,Ready to Ask Your Question?
sos.final_cta,sos-hotline,Contact the SOS Hotline
sos.modal_title,sos-hotline,SOS Hotline
sos.modal_message_label,sos-hotline,What's going on?
sos.modal_placeholder,sos-hotline,What's your email question?
sos.modal_submit,sos-hotline,Send to SOS Hotline
sos.modal_success,sos-hotline,Message Received
sos.modal_success_text,sos-hotline,We'll get back to you within 24-48 hours.
sos.topics_subhead,sos-hotline,You do not need to be a client. You do not need to buy anything.
sos.topics_footer,sos-hotline,...and anything else you are wondering about.
sos.topic_deliverability,sos-hotline,Deliverability
sos.topic_bounces,sos-hotline,Bounces
sos.topic_blocklists,sos-hotline,Blocklists
sos.topic_open_rates,sos-hotline,Open rates
sos.topic_esp_migration,sos-hotline,ESP migration
sos.topic_warmup,sos-hotline,Warmup
sos.topic_list_cleaning,sos-hotline,List cleaning
sos.topic_engagement,sos-hotline,Engagement
sos.topic_spam_complaints,sos-hotline,Spam complaints
sos.topic_reputation,sos-hotline,Reputation
sos.topic_ip_warming,sos-hotline,IP warming
sos.topic_segmentation,sos-hotline,Segmentation
sos.topic_inbox_placement,sos-hotline,Inbox placement
sos.topic_sunsetting,sos-hotline,Sunsetting
sos.topic_reengagement,sos-hotline,Re-engagement
sos.topic_career,sos-hotline,Career advice
sos.step1,sos-hotline,You send an email to the SOS Hotline
sos.step2,sos-hotline,You receive an automatic reply confirming we got it
sos.step3,sos-hotline,YT personally reads and responds within 48 hours
sos.how_footer,sos-hotline,That is it. No booking system. Just reach out.
sos.how_send_message,sos-hotline,Send a message
sos.testimonial1_quote,sos-hotline,The SOS Hotline gave me extremely helpful guidance. Yanna-Torry cleaned our list and supported us beyond the call.
sos.testimonial1_author,sos-hotline,"Megan S, UK"
sos.testimonial2_quote,sos-hotline,Real human expertise. Tailor-made solutions. Not an AI tool.
sos.testimonial2_author,sos-hotline,"Chris Mead, UK"
sos.testimonial3_quote,sos-hotline,RME provides deep insights our ESP misses and helped us segment smarter.
sos.testimonial3_author,sos-hotline,"Adeola Sole, UK"
sos.why_tagline,sos-hotline,Trust beats tactics.
sos.why_p1,sos-hotline,"We offer real help without charging because it is the right thing to do. Most questions fall into a few common patterns I see every week. Some people need a quick answer. Some need deeper support. Either way, the conversation starts the same."
sos.why_p2,sos-hotline,"If you need more than guidance, we offer done-for-you list reviews with expert interpretation included. But there is no pressure. The SOS Hotline exists to help, not to sell."
sos.more_intro,sos-hotline,"SOS gives you guidance. If you need someone to actually touch your data, we offer:"
sos.more_dfy_desc,sos-hotline,"Send us your list. We review every address and return it labeled: Keep, Monitor, or Suppress. Each gets a clear label, a definition, and why it matters."
sos.more_expert_desc,sos-hotline,"Every list review includes a walkthrough of your results. We explain what we found, what it means, and what to do next. Included free with every cleaning."
sos.final_subtext,sos-hotline,Email us. Within 48 hours. Often sooner.
