Key,Page,Section,English,Vietnamese,Notes
dfy.hero_title,done-for-you,HERO,Validators check addresses. I read risk.,Công cụ kiểm tra địa chỉ. Tôi đọc vị rủi ro.,
dfy.hero_subtitle,done-for-you,HERO,"Your list isn't broken. The assumptions behind it are. I read lists the way experience taught me, not the way software defaults to.","Danh sách của bạn không hỏng. Các giả định đằng sau nó mới là vấn đề. Tôi đọc danh sách theo cách kinh nghiệm dạy tôi, không phải theo mặc định của phần mềm.",
dfy.hero_cta,done-for-you,HERO,Get My List Cleaned,Làm Sạch Danh Sách Của Tôi,
dfy.hero_cta_secondary,done-for-you,HERO,Contact Us First,Liên Hệ Chúng Tôi Trước,
dfy.output_title,done-for-you,OUTPUT,What You Get Back,Những Gì Bạn Nhận Được,
dfy.output_subtitle,done-for-you,OUTPUT,"Your list sorted into three buckets, with the labels and reasoning behind each decision.","Danh sách của bạn được phân loại thành ba nhóm, với nhãn và lý do đằng sau mỗi quyết định.",
dfy.output_safe,done-for-you,OUTPUT,Safe to Mail,An Toàn Để Gửi (Safe),
dfy.output_safe_desc,done-for-you,OUTPUT,"No flags found. Domain checks out, validation passed, no risk signals. These are clear to send.","Không tìm thấy cờ cảnh báo. Tên miền hợp lệ, validation thông qua, không có tín hiệu rủi ro. Những địa chỉ này an toàn để gửi.",
dfy.output_yellow,done-for-you,OUTPUT,Yellow Flags,Cờ Vàng (Yellow Flags),
dfy.output_yellow_desc,done-for-you,OUTPUT,Each address comes with specific labels explaining why it landed here. Context matters. How you segment and send to these decides the outcome.,Mỗi địa chỉ đi kèm với nhãn cụ thể giải thích tại sao nó ở đây. Ngữ cảnh rất quan trọng. Cách bạn phân khúc và gửi đến nhóm này sẽ quyết định kết quả.,
dfy.output_donotmail,done-for-you,OUTPUT,Do Not Mail,Không Gửi (Do Not Mail),
dfy.output_donotmail_desc,done-for-you,OUTPUT,"Each address comes with specific labels explaining why. Invalid, trap-likely, disposable, or other risk signals. Don't send here.","Mỗi địa chỉ có nhãn giải thích lý do. Không hợp lệ (Invalid), có thể là bẫy (Trap), dùng một lần (Disposable) hoặc các tín hiệu rủi ro khác. Đừng gửi đến đây.",
dfy.output_note,done-for-you,OUTPUT,You also get the validation and DNS data that informed each decision. Not just buckets. The full picture.,Bạn cũng nhận được dữ liệu validation và DNS đã cung cấp thông tin cho mỗi quyết định. Không chỉ là các nhóm phân loại. Mà là bức tranh toàn cảnh.,
dfy.howread_title,done-for-you,HOW I READ,How I Read Your List,Cách Tôi Đọc Danh Sách Của Bạn,
dfy.howread_beyond,done-for-you,HOW I READ,I Look Beyond the Address,Tôi Nhìn Xa Hơn Địa Chỉ Email,
dfy.howread_beyond_desc,done-for-you,HOW I READ,"Domain behavior, history, and patterns across your entire list. Context, not just existence. An address that ""works"" can still be dangerous.","Hành vi tên miền, lịch sử và các mô hình trên toàn bộ danh sách của bạn. Ngữ cảnh, không chỉ là sự tồn tại. Một địa chỉ ""hoạt động"" vẫn có thể nguy hiểm.",
dfy.howread_miss,done-for-you,HOW I READ,I Check What Others Miss,Tôi Kiểm Tra Những Gì Người Khác Bỏ Sót,
dfy.howread_miss_desc,done-for-you,HOW I READ,"Traps, role accounts, toxic domains, disposable patterns. The things that don't bounce but still hurt you. I've learned what to look for.","Bẫy (Traps), tài khoản chức năng (Role accounts), tên miền độc hại, mô hình email dùng một lần. Những thứ không bị trả lại (bounce) nhưng vẫn làm hại bạn. Tôi biết cần tìm gì.",
dfy.howread_reasoning,done-for-you,HOW I READ,I Explain My Reasoning,Tôi Giải Thích Lý Do Của Mình,
dfy.howread_reasoning_desc,done-for-you,HOW I READ,"Not just labels. You get the thinking behind each decision so you understand why, and can make smarter calls next time.","Không chỉ là nhãn dán. Bạn nhận được tư duy đằng sau mỗi quyết định để hiểu tại sao, và có thể đưa ra quyết định thông minh hơn vào lần tới.",
dfy.process_title,done-for-you,PROCESS,How It Works,Cách Thức Hoạt Động,
dfy.process_subtitle,done-for-you,PROCESS,Simple process. Expert execution.,Quy trình đơn giản. Thực thi bởi chuyên gia.,
dfy.step1_title,done-for-you,PROCESS,Send Us Your List,Gửi Danh Sách Của Bạn,
dfy.step2_title,done-for-you,PROCESS,I Read Your List,Tôi Đọc Danh Sách Của Bạn,
dfy.step3_title,done-for-you,PROCESS,Get Labeled Results Back,Nhận Kết Quả Đã Dán Nhãn,
dfy.step4_title,done-for-you,PROCESS,Optional: Book a Walkthrough Call,Tùy Chọn: Đặt Lịch Gọi Giải Thích,
dfy.consult_title,done-for-you,CONSULTATION,Not Sure What You Need?,Chưa Chắc Bạn Cần Gì?,
dfy.consult_card,done-for-you,CONSULTATION,1:1 Call with YT,Cuộc Gọi 1:1 Với YT,DNT YT
dfy.consult_cta,done-for-you,CONSULTATION,Book a Free Consultation,Đặt Lịch Tư Vấn Miễn Phí,
dfy.whofor_title,done-for-you,WHO FOR,Who This Is For,Dịch Vụ Này Dành Cho Ai,
dfy.whofor_yes,done-for-you,WHO FOR,This Is For You If,Dành Cho Bạn Nếu,
dfy.whofor_no,done-for-you,WHO FOR,Not For You If,Không Dành Cho Bạn Nếu,
dfy.whofor_partner,done-for-you,WHO FOR,Connect With a Partner,Kết Nối Với Đối Tác,
dfy.pricing_title,done-for-you,PRICING,Pricing,Giá Cả,
dfy.notsure_title,done-for-you,PRICING,Not Sure Yet?,Vẫn Chưa Chắc Chắn?,
dfy.notsure_cta,done-for-you,PRICING,Learn About SOS Hotline,Tìm Hiểu Về SOS Hotline,DNT SOS Hotline
dfy.cta_title,done-for-you,CTA,Ready to Know What's Actually In Your List?,Sẵn Sàng Biết Thực Sự Có Gì Trong Danh Sách Của Bạn?,
dfy.cta_subtitle,done-for-you,CTA,"Send it over. I'll tell you what to keep, what to watch, and what to never send to again. With the reasoning behind every call.","Gửi nó qua đây. Tôi sẽ cho bạn biết giữ cái nào, theo dõi cái nào và không bao giờ gửi lại cho cái nào. Với lý do đằng sau mọi quyết định.",
dfy.cta_footer,done-for-you,CTA,Most lists returned within 24-48 hours.,Hầu hết danh sách được trả lại trong vòng 24-48 giờ.,
dfy.label_keep,done-for-you,OUTPUT,Keep,Giữ (Keep),DNT Keep
dfy.label_monitor,done-for-you,OUTPUT,Monitor,Theo Dõi (Monitor),DNT Monitor
dfy.label_suppress,done-for-you,OUTPUT,Suppress,Chặn (Suppress),DNT Suppress
dfy.step1_desc,done-for-you,PROCESS,"CSV, Excel, whatever you have. We have seen it all. No judgment, no questions.","CSV, Excel, bất cứ định dạng nào bạn có. Chúng tôi đã thấy tất cả. Không phán xét, không thắc mắc.",
dfy.step2_desc,done-for-you,PROCESS,"Every address gets examined. Domain patterns, history, risk signals. The full picture, not just a validity check.","Mọi địa chỉ đều được kiểm tra. Mô hình tên miền, lịch sử, tín hiệu rủi ro. Bức tranh toàn cảnh, không chỉ là kiểm tra tính hợp lệ.",
dfy.step3_desc,done-for-you,PROCESS,"Keep, Monitor, or Suppress. With the specific reasons behind each decision. You will know what to do and why.","Giữ, Theo dõi, hoặc Chặn. Với lý do cụ thể đằng sau mỗi quyết định. Bạn sẽ biết phải làm gì và tại sao.",
dfy.step4_desc,done-for-you,PROCESS,Talk through the results with me. Understand what we found and plan your next steps.,Thảo luận kết quả với tôi. Hiểu những gì chúng tôi tìm thấy và lên kế hoạch cho các bước tiếp theo.,
dfy.consult_subtitle,done-for-you,CONSULTATION,No pressure, no pitch. Let's talk through your situation and figure out if list cleaning is even the right move.,Không áp lực, không chào hàng. Hãy nói về tình huống của bạn và xem liệu làm sạch danh sách có phải là bước đi đúng đắn không.,
dfy.consult_badge,done-for-you,CONSULTATION,First Free Consultation,Tư Vấn Miễn Phí Lần Đầu,
dfy.consult_card_desc,done-for-you,CONSULTATION,Tell me what's going on with your list, your sending, your concerns. I'll give you my honest take on what you actually need—even if it's not me.,Kể cho tôi nghe chuyện gì đang xảy ra với danh sách, việc gửi email, những lo lắng của bạn. Tôi sẽ đưa ra nhận định trung thực về những gì bạn thực sự cần—ngay cả khi đó không phải là tôi.,
dfy.consult_duration,done-for-you,CONSULTATION,15-30 minutes. No commitment required.,15-30 phút. Không yêu cầu cam kết.,
dfy.consult_topics_label,done-for-you,CONSULTATION,We can discuss,Chúng ta có thể thảo luận,
dfy.consult_topic1,done-for-you,CONSULTATION,Whether list cleaning makes sense for your situation,Liệu làm sạch danh sách có hợp lý cho tình huống của bạn không,
dfy.consult_topic2,done-for-you,CONSULTATION,What's likely causing your deliverability issues,Điều gì có khả năng gây ra vấn đề deliverability của bạn,
dfy.consult_topic3,done-for-you,CONSULTATION,Which service level fits your needs,Cấp độ dịch vụ nào phù hợp với nhu cầu của bạn,
dfy.consult_topic4,done-for-you,CONSULTATION,Timeline and turnaround expectations,Kỳ vọng về thời gian và tiến độ,
dfy.consult_topic5,done-for-you,CONSULTATION,Questions about the process,Các câu hỏi về quy trình,
dfy.whofor_yes1,done-for-you,WHO FOR,Running campaigns but seeing declining engagement,Đang chạy chiến dịch nhưng thấy tương tác giảm sút,
