Key,Page,Section,English,Thai,Notes
home.title,homepage,META & SEO,Review My Emails | Email List Cleaning That Tells You What to Do,Review My Emails | บริการล้างรายชื่ออีเมลที่บอกคุณว่าต้องทำอะไร,"DNT ""Review My Emails"""
home.meta_desc,homepage,META & SEO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do. Clear labels: Keep, Monitor, Suppress. With the reasoning behind each one.","เครื่องมือตรวจสอบเห็นแค่ที่อยู่ เราเห็นรูปแบบ บริบท และความเสี่ยง แล้วบอกคุณอย่างชัดเจนว่าต้องทำอะไร ป้ายกำกับชัดเจน: เก็บ (Keep), เฝ้าระวัง (Monitor), ระงับ (Suppress) พร้อมเหตุผลเบื้องหลังแต่ละข้อ","DNT Keep/Monitor/Suppress"
home.og_title,homepage,META & SEO,Review My Emails | Email List Cleaning That Tells You What to Do,Review My Emails | บริการล้างรายชื่ออีเมลที่บอกคุณว่าต้องทำอะไร,"Same as title, for social sharing"
home.og_desc,homepage,META & SEO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do.","เครื่องมือตรวจสอบเห็นแค่ที่อยู่ เราเห็นรูปแบบ ระบุความเสี่ยงและบอกขั้นตอนต่อไปให้คุณทราบอย่างชัดเจน","For social sharing"
home.hero_badge,homepage,HERO,By Yanna-Torry Aspraki,โดย Yanna-Torry Aspraki,DNT name
home.hero_headline_1,homepage,HERO,Stop guessing what is wrong with your list.,เลิกเดาว่าเกิดอะไรขึ้นกับรายชื่อของคุณ,First line of headline
home.hero_headline_2,homepage,HERO,We find the problems tools miss.,เราพบปัญหาที่เครื่องมือมองข้าม,Second line, highlighted
home.hero_subhead,homepage,HERO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do.","เครื่องมือตรวจสอบเห็นแค่ที่อยู่ เราวิเคราะห์รูปแบบและความเสี่ยง แล้วบอกคุณอย่างชัดเจนว่าต้องทำอะไร",
home.cta_primary,homepage,HERO,Get My List Cleaned,ล้างรายชื่อของฉัน,Main CTA button
home.hero_bridge,homepage,HERO,Most email inboxing and deliverability problems trace back to list quality.,ปัญหาส่วนใหญ่ของการส่งอีเมลเข้า Inbox และ Deliverability เกิดจากคุณภาพของรายชื่อ,
home.hero_quiz_prefix,homepage,HERO,Not sure yet?,ยังไม่แน่ใจใช่ไหม?,
home.hero_quiz_link,homepage,HERO,Take the 2-minute risk check,ทำแบบประเมินความเสี่ยง 2 นาที,
dfy.hero_title,done-for-you,HERO,Validators check addresses. I read risk.,ตัวตรวจสอบเช็คที่อยู่ ฉันอ่านความเสี่ยง,
dfy.hero_subtitle,done-for-you,HERO,"Your list isn't broken. The assumptions behind it are. I read lists the way experience taught me, not the way software defaults to.","รายชื่อของคุณไม่ได้เสีย สมมติฐานเบื้องหลังต่างหากที่ผิด ฉันอ่านรายชื่อตามประสบการณ์ที่สอนมา ไม่ใช่ตามค่าเริ่มต้นของซอฟต์แวร์",
dfy.hero_cta,done-for-you,HERO,Get My List Cleaned,ล้างรายชื่อของฉัน,
dfy.hero_cta_secondary,done-for-you,HERO,Contact Us First,ติดต่อเราก่อน,
dfy.output_title,done-for-you,OUTPUT,What You Get Back,สิ่งที่คุณจะได้รับกลับมา,
dfy.output_subtitle,done-for-you,OUTPUT,"Your list sorted into three buckets, with the labels and reasoning behind each decision.","รายชื่อของคุณถูกจัดเป็นสามกลุ่ม พร้อมป้ายกำกับและเหตุผลเบื้องหลังการตัดสินใจแต่ละรายการ",
dfy.output_safe,done-for-you,OUTPUT,Safe to Mail,ปลอดภัยในการส่ง (Safe),
dfy.output_safe_desc,done-for-you,OUTPUT,"No flags found. Domain checks out, validation passed, no risk signals. These are clear to send.","ไม่พบธงเตือน โดเมนผ่านการตรวจสอบ การตรวจสอบผ่าน ไม่มีสัญญาณความเสี่ยง รายการเหล่านี้ส่งได้ปลอดภัย",
dfy.output_yellow,done-for-you,OUTPUT,Yellow Flags,ธงเหลือง (Yellow Flags),
dfy.output_yellow_desc,done-for-you,OUTPUT,Each address comes with specific labels explaining why it landed here. Context matters. How you segment and send to these decides the outcome.,แต่ละที่อยู่มีป้ายกำกับเฉพาะอธิบายว่าทำไมถึงอยู่ที่นี่ บริบทสำคัญมาก วิธีที่คุณจัดกลุ่มและส่งหาคนกลุ่มนี้จะกำหนดผลลัพธ์,
dfy.output_donotmail,done-for-you,OUTPUT,Do Not Mail,ห้ามส่ง (Do Not Mail),
