Key,Page,English,Turkish
modal.contact_title,common,Get in Touch,İletişime Geçin
modal.contact_subtitle,common,Tell us what you're working on. We'll get back to you within one business day.,Üzerinde çalıştığınız şeyi bize anlatın. Bir iş günü içinde size döneceğiz.
modal.form_name,common,Name,İsim
modal.form_email,common,Email,E-posta
modal.form_timezone,common,Timezone,Saat Dilimi
modal.form_timezone_placeholder,common,Select your timezone (optional),Saat diliminizi seçin (isteğe bağlı)
modal.form_message,common,Message,Mesaj
modal.form_message_placeholder,common,What can we help you with?,Size nasıl yardımcı olabiliriz?
modal.form_message_helper,common,Optional - but helps us prepare for the conversation.,İsteğe bağlı - ama görüşmeye hazırlanmamıza yardımcı olur.
modal.form_submit,common,Send Message,Mesaj Gönder
modal.success_title,common,Message Sent!,Mesaj Gönderildi!
modal.success_message,common,We'll get back to you within one business day.,Bir iş günü içinde size döneceğiz.
dfy.consult_call_title,done-for-you,1:1 Call with YT,YT ile Birebir Görüşme
dfy.contact_first,done-for-you,Contact Us First,Önce Bizimle İletişime Geçin
dfy.how_read_title,done-for-you,How I Read Your List,Listenizi Nasıl İnceliyorum
dfy.keep_desc,done-for-you,"No flags found. Domain checks out, validation passed, no risk signals. These are clear to send.","Sorun bulunamadı. Domain kontrolden geçti, doğrulama başarılı, risk sinyali yok. Bunlara göndermek güvenli."
dfy.keep_title,done-for-you,Safe to Mail,Göndermek Güvenli
dfy.modal_submit,done-for-you,Send Request,Talep Gönder
dfy.modal_subtitle,done-for-you,Tell us about your situation and we'll get back to you within 24 hours.,Durumunuzu bize anlatın ve 24 saat içinde size döneceğiz.
dfy.monitor_desc,done-for-you,Each address comes with specific labels explaining why it landed here. Context matters.,Her adres neden burada olduğunu açıklayan etiketlerle birlikte gelir. Bağlam önemlidir.
dfy.monitor_title,done-for-you,Yellow Flags,Sarı Bayraklar
dfy.pricing_ask,done-for-you,Just ask,Sadece sorun
dfy.pricing_questions,done-for-you,Questions first?,Önce sorularınız mı var?
dfy.read1_desc,done-for-you,"Domain behavior, history, and patterns across your entire list. Context, not just existence.","Domain davranışı, geçmişi ve tüm listenizdeki kalıplar. Sadece varlık değil, bağlam."
dfy.read1_title,done-for-you,I Look Beyond the Address,Adresin Ötesine Bakıyorum
dfy.read2_desc,done-for-you,"Traps, role accounts, toxic domains, disposable patterns. The things that don't bounce but still hurt you.","Tuzaklar, rol hesapları, toksik domainler, geçici kalıplar. Geri dönmeyen ama yine de size zarar veren şeyler."
dfy.read2_title,done-for-you,I Check What Others Miss,Başkalarının Kaçırdıklarını Kontrol Ediyorum
dfy.read3_desc,done-for-you,Not just labels. You get the thinking behind each decision so you understand why.,Sadece etiketler değil. Her kararın arkasındaki düşünceyi alırsınız ve nedenini anlarsınız.
dfy.read3_title,done-for-you,I Explain My Reasoning,Mantığımı Açıklıyorum
dfy.sos_cta,done-for-you,Learn About SOS Hotline,SOS Hattı Hakkında Bilgi Alın
dfy.sos_desc,done-for-you,Have a question before committing? Use the SOS Hotline. It is free. No sales pitch.,Karar vermeden önce sorunuz mu var? SOS Hattını kullanın. Ücretsiz. Satış yok.
dfy.sos_title,done-for-you,Not Sure Yet?,Henüz Emin Değil misiniz?
dfy.suppress_desc,done-for-you,"Each address comes with specific labels explaining why. Invalid, trap-likely, disposable, or other risk signals. Don't send here.","Her adres nedenini açıklayan etiketlerle gelir. Geçersiz, muhtemel tuzak, geçici veya diğer risk sinyalleri. Bunlara göndermeyin."
dfy.suppress_title,done-for-you,Do Not Mail,Gönderme
dfy.who_for1,done-for-you,Running campaigns but seeing declining engagement,Kampanya yürütüyor ama etkileşim düşüşü görüyorsunuz
dfy.who_for2,done-for-you,"Worried about bounces, complaints, or blocklists","Geri dönüşler, şikayetler veya engel listeleri konusunda endişelisiniz"
dfy.who_for3,done-for-you,Inheriting a list you did not build,Kendinizin oluşturmadığı bir listeyi devraldınız
dfy.who_for4,done-for-you,"Under pressure to ""just send"" but sensing risk","""Sadece gönder"" baskısı altındasınız ama risk hissediyorsunuz"
dfy.who_for5,done-for-you,Trying to explain deliverability risks internally,Teslim edilebilirlik risklerini içeride açıklamaya çalışıyorsunuz
dfy.who_for_title,done-for-you,This Is For You If,Eğer Bunlar Sizseniz
dfy.who_not1,done-for-you,You want someone to write or send campaigns for you,Sizin için kampanya yazan veya gönderen birini istiyorsunuz
dfy.who_not2,done-for-you,You need ESP migration or setup help,ESP geçişi veya kurulum yardımına ihtiyacınız var
dfy.who_not3,done-for-you,You want ongoing managed services,Sürekli yönetilen hizmetler istiyorsunuz
dfy.who_not4,done-for-you,You need content or design work,İçerik veya tasarım işine ihtiyacınız var
dfy.who_not_title,done-for-you,Not For You If,Sizin İçin Değil Eğer
dfy.who_partner_cta,done-for-you,Connect With a Partner,Bir Partnerle Bağlantı Kurun
dfy.who_title,done-for-you,Who This Is For,Bu Kimler İçin
home.manifesto,homepage,You've probably run your list through a tool before. It said 95% valid. You sent anyway. Bounces happened. That's the gap between validation and understanding.,Muhtemelen listenizi daha önce bir araçtan geçirdiniz. %95 geçerli dedi. Yine de gönderdiniz. Geri dönüşler oldu. Bu doğrulama ile anlama arasındaki farktır.
home.quiz_cta_btn,homepage,Take the 2-Minute Risk Check,2 Dakikalık Risk Kontrolünü Yapın
home.quiz_cta_desc,homepage,"Take a 2-minute self-assessment. Four questions about how you built your list, and we'll tell you what risk level you're probably at.","2 dakikalık bir öz değerlendirme yapın. Listenizi nasıl oluşturduğunuza dair dört soru ve muhtemelen hangi risk seviyesinde olduğunuzu söyleyelim."
pricing.compare_them1,pricing,Validators check if an inbox exists.,Doğrulayıcılar gelen kutusunun var olup olmadığını kontrol eder.
pricing.compare_them2,pricing,Validators give you a status.,Doğrulayıcılar size bir durum verir.
pricing.compare_them3,pricing,Validators flag what bounces.,Doğrulayıcılar neyin geri döndüğünü işaretler.
pricing.compare_them4,pricing,Validators process volume.,Doğrulayıcılar hacim işler.
pricing.compare_them5,pricing,Validators leave you guessing.,Doğrulayıcılar sizi tahmin eder bırakır.
pricing.compare_us1,pricing,We assess whether sending there is safe.,Oraya göndermenin güvenli olup olmadığını değerlendiriyoruz.
pricing.compare_us2,pricing,We give you the reasoning behind a decision.,Bir kararın arkasındaki mantığı size veriyoruz.
pricing.compare_us3,pricing,We flag what damages your reputation without bouncing.,Geri dönmeden itibarınıza zarar vereni işaretliyoruz.
pricing.compare_us4,pricing,We interpret patterns across your entire list.,Tüm listenizdeki kalıpları yorumluyoruz.
pricing.compare_us5,pricing,We tell you what to do and why.,Ne yapmanız gerektiğini ve nedenini söylüyoruz.
modal.timezone_pt,common,Pacific Time (PT),Pasifik Saati (PT)
modal.timezone_mt,common,Mountain Time (MT),Dağ Saati (MT)
modal.timezone_ct,common,Central Time (CT),Merkezi Saat (CT)
modal.timezone_et,common,Eastern Time (ET),Doğu Saati (ET)
modal.timezone_gmt,common,GMT / UTC,GMT / UTC
modal.timezone_cet,common,Central European Time (CET),Orta Avrupa Saati (CET)
modal.timezone_other,common,Other,Diğer
modal.form_sending,common,Sending...,Gönderiliyor...
modal.form_try_again,common,Try Again,Tekrar Deneyin
modal.form_error,common,Something went wrong. Please try again or email us directly at ahoy@reviewmyemails.com,Bir şeyler ters gitti. Lütfen tekrar deneyin veya bize doğrudan ahoy@reviewmyemails.com adresinden yazın
modal.request_received,common,Request Received,Talep Alındı
modal.timezone_london,common,London (GMT/BST),Londra (GMT/BST)
modal.timezone_singapore,common,Singapore Time,Singapur Saati
modal.timezone_sydney,common,Australian Eastern Time,Avustralya Doğu Saati
modal.timezone_alaska,common,Alaska Time,Alaska Saati
modal.timezone_hawaii,common,Hawaii Time,Hawaii Saati
modal.timezone_eet,common,Eastern European Time,Doğu Avrupa Saati
modal.timezone_gulf,common,Gulf Standard Time,Körfez Standart Saati
modal.timezone_india,common,India Standard Time,Hindistan Standart Saati
modal.timezone_japan,common,Japan Standard Time,Japonya Standart Saati
modal.timezone_nz,common,New Zealand Time,Yeni Zelanda Saati
sos.more_title,sos-hotline,Need More Than Advice?,Tavsiyeden Fazlasına mı İhtiyacınız Var?
sos.more_dfy,sos-hotline,Done-For-You Review,Sizin İçin Yapılan İnceleme
sos.more_dfy_cta,sos-hotline,See What You Get,Ne Aldığınızı Görün
sos.more_expert,sos-hotline,Expert Interpretation,Uzman Yorumu
sos.final_title,sos-hotline,Ready to Ask Your Question?,Sorunuzu Sormaya Hazır mısınız?
sos.why_p1,sos-hotline,"We offer real help without charging because it is the right thing to do. Most questions fall into a few common patterns I see every week. Some people need a quick answer. Some need deeper support. Either way, the conversation starts the same.","Ücret almadan gerçek yardım sunuyoruz çünkü yapılması gereken doğru şey bu. Çoğu soru her hafta gördüğüm birkaç yaygın kalıba düşer. Bazı insanlar hızlı bir cevaba ihtiyaç duyar. Bazıları daha derin desteğe. Her iki durumda da konuşma aynı şekilde başlar."
sos.why_p2,sos-hotline,"If you need more than guidance, we offer done-for-you list reviews with expert interpretation included. But there is no pressure. The SOS Hotline exists to help, not to sell.","Rehberlikten fazlasına ihtiyacınız varsa, uzman yorumu dahil sizin için yapılan liste incelemeleri sunuyoruz. Ama baskı yok. SOS Hattı satmak için değil, yardım etmek için var."
