Key,Page,Section,English,Turkish,Notes
home.title,homepage,META & SEO,Review My Emails | Email List Cleaning That Tells You What to Do,Review My Emails | Size Ne Yapmanız Gerektiğini Söyleyen E-posta Listesi Temizliği,DNT "Review My Emails"
home.meta_desc,homepage,META & SEO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do. Clear labels: Keep, Monitor, Suppress. With the reasoning behind each one.","Doğrulama araçları adresleri görür. Biz kalıpları, bağlamı ve riski görürüz. Sonra size tam olarak ne yapmanız gerektiğini söyleriz. Net etiketler: Sakla (Keep), İzle (Monitor), Kaldır (Suppress). Her birinin arkasındaki gerekçeyle birlikte.",DNT Keep/Monitor/Suppress
home.og_title,homepage,META & SEO,Review My Emails | Email List Cleaning That Tells You What to Do,Review My Emails | Size Ne Yapmanız Gerektiğini Söyleyen E-posta Listesi Temizliği,Same as title, for social sharing
home.og_desc,homepage,META & SEO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do.","Doğrulama araçları adresleri görür. Biz kalıpları görürüz. Riski tanımlar ve size tam olarak bir sonraki adımın ne olduğunu söyleriz.",For social sharing
home.hero_badge,homepage,HERO,By Yanna-Torry Aspraki,Yanna-Torry Aspraki Tarafından,DNT name
home.hero_headline_1,homepage,HERO,Stop guessing what is wrong with your list.,Listenizdeki sorunun ne olduğunu tahmin etmeyi bırakın.,First line of headline
home.hero_headline_2,homepage,HERO,We find the problems tools miss.,Araçların kaçırdığı sorunları buluyoruz.,Second line, highlighted
home.hero_subhead,homepage,HERO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do.","Doğrulama araçları sadece adresleri görür. Biz kalıpları ve riski analiz eder, size tam olarak ne yapmanız gerektiğini söyleriz.",
home.cta_primary,homepage,HERO,Get My List Cleaned,Listemi Temizle,Main CTA button
home.hero_bridge,homepage,HERO,Most email inboxing and deliverability problems trace back to list quality.,Çoğu gelen kutusu (inboxing) ve teslim edilebilirlik (deliverability) sorunu liste kalitesine dayanır.,
