Key,Page,Section,English,Indonesian,Notes
home.title,homepage,META & SEO,Review My Emails | Email List Cleaning That Tells You What to Do,Review My Emails | Pembersihan Daftar Email yang Memberitahu Anda Apa yang Harus Dilakukan,"DNT ""Review My Emails"""
home.meta_desc,homepage,META & SEO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do. Clear labels: Keep, Monitor, Suppress. With the reasoning behind each one.","Alat validasi melihat alamat. Kami melihat pola, konteks, dan risiko. Lalu kami memberi tahu Anda apa yang harus dilakukan. Label jelas: Simpan (Keep), Pantau (Monitor), Tahan (Suppress). Dengan alasan di balik setiap label.","DNT Keep/Monitor/Suppress"
home.og_title,homepage,META & SEO,Review My Emails | Email List Cleaning That Tells You What to Do,Review My Emails | Pembersihan Daftar Email yang Memberitahu Anda Apa yang Harus Dilakukan,"Same as title, for social sharing"
home.og_desc,homepage,META & SEO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do.","Alat validasi melihat alamat. Kami melihat pola. Kami mengidentifikasi risiko dan memberi tahu Anda dengan tepat apa langkah selanjutnya.","For social sharing"
home.hero_badge,homepage,HERO,By Yanna-Torry Aspraki,Oleh Yanna-Torry Aspraki,DNT name
home.hero_headline_1,homepage,HERO,Stop guessing what is wrong with your list.,Berhenti menebak apa yang salah dengan daftar Anda.,First line of headline
home.hero_headline_2,homepage,HERO,We find the problems tools miss.,Kami menemukan masalah yang dilewatkan oleh alat.,Second line, highlighted
home.hero_subhead,homepage,HERO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do.","Alat validasi hanya melihat alamat. Kami menganalisis pola dan risiko, memberi tahu Anda dengan tepat apa yang harus dilakukan.",
home.cta_primary,homepage,HERO,Get My List Cleaned,Bersihkan Daftar Saya,Main CTA button
home.hero_bridge,homepage,HERO,Most email inboxing and deliverability problems trace back to list quality.,Sebagian besar masalah inboxing dan deliverability email berawal dari kualitas daftar.,
home.hero_quiz_prefix,homepage,HERO,Not sure yet?,Belum yakin?,
home.hero_quiz_link,homepage,HERO,Take the 2-minute risk check,Ikuti pemeriksaan risiko 2 menit,
dfy.hero_title,done-for-you,HERO,Validators check addresses. I read risk.,Validator memeriksa alamat. Saya membaca risiko.,
dfy.hero_subtitle,done-for-you,HERO,"Your list isn't broken. The assumptions behind it are. I read lists the way experience taught me, not the way software defaults to.","Daftar Anda tidak rusak. Asumsi di baliknya yang salah. Saya membaca daftar dengan cara yang diajarkan pengalaman, bukan cara default perangkat lunak.",
dfy.hero_cta,done-for-you,HERO,Get My List Cleaned,Bersihkan Daftar Saya,
dfy.hero_cta_secondary,done-for-you,HERO,Contact Us First,Hubungi Kami Dulu,
dfy.output_title,done-for-you,OUTPUT,What You Get Back,Apa yang Anda Dapatkan Kembali,
dfy.output_subtitle,done-for-you,OUTPUT,"Your list sorted into three buckets, with the labels and reasoning behind each decision.","Daftar Anda disortir menjadi tiga kelompok, dengan label dan alasan di balik setiap keputusan.",
dfy.output_safe,done-for-you,OUTPUT,Safe to Mail,Aman untuk Dikirim (Safe),
dfy.output_safe_desc,done-for-you,OUTPUT,"No flags found. Domain checks out, validation passed, no risk signals. These are clear to send.","Tidak ada tanda peringatan. Domain valid, validasi lolos, tidak ada sinyal risiko. Ini aman untuk dikirim.",
dfy.output_yellow,done-for-you,OUTPUT,Yellow Flags,Bendera Kuning (Yellow Flags),
dfy.output_yellow_desc,done-for-you,OUTPUT,Each address comes with specific labels explaining why it landed here. Context matters. How you segment and send to these decides the outcome.,Setiap alamat dilengkapi dengan label khusus yang menjelaskan alasannya. Konteks itu penting. Cara Anda membagi segmen dan mengirim ke alamat ini menentukan hasilnya.,
dfy.output_donotmail,done-for-you,OUTPUT,Do Not Mail,Jangan Dikirim (Do Not Mail),
dfy.output_donotmail_desc,done-for-you,OUTPUT,"Each address comes with specific labels explaining why. Invalid, trap-likely, disposable, or other risk signals. Don't send here.","Setiap alamat dilengkapi label yang menjelaskan alasannya. Tidak valid (Invalid), kemungkinan jebakan (Trap), sekali pakai (Disposable), atau sinyal risiko lainnya. Jangan kirim ke sini.",
dfy.output_note,done-for-you,OUTPUT,You also get the validation and DNS data that informed each decision. Not just buckets. The full picture.,Anda juga mendapatkan data validasi dan DNS yang mendasari setiap keputusan. Bukan hanya pengelompokan. Gambaran lengkapnya.,
dfy.howread_title,done-for-you,HOW I READ,How I Read Your List,Bagaimana Saya Membaca Daftar Anda,
dfy.howread_beyond,done-for-you,HOW I READ,I Look Beyond the Address,Saya Melihat Lebih Dari Sekadar Alamat,
dfy.howread_beyond_desc,done-for-you,HOW I READ,"Domain behavior, history, and patterns across your entire list. Context, not just existence. An address that ""works"" can still be dangerous.","Perilaku domain, riwayat, dan pola di seluruh daftar Anda. Konteks, bukan hanya keberadaan. Alamat yang ""berfungsi"" masih bisa berbahaya.",
dfy.howread_miss,done-for-you,HOW I READ,I Check What Others Miss,Saya Memeriksa Apa yang Dilewatkan Orang Lain,
dfy.howread_miss_desc,done-for-you,HOW I READ,"Traps, role accounts, toxic domains, disposable patterns. The things that don't bounce but still hurt you. I've learned what to look for.","Jebakan (Traps), akun peran (Role accounts), domain beracun, pola sekali pakai. Hal-hal yang tidak bounce tetapi tetap merugikan Anda. Saya tahu apa yang harus dicari.",
dfy.howread_reasoning,done-for-you,HOW I READ,I Explain My Reasoning,Saya Menjelaskan Alasan Saya,
dfy.howread_reasoning_desc,done-for-you,HOW I READ,"Not just labels. You get the thinking behind each decision so you understand why, and can make smarter calls next time.","Bukan hanya label. Anda mendapatkan pemikiran di balik setiap keputusan sehingga Anda mengerti alasannya, dan bisa membuat keputusan yang lebih cerdas di lain waktu.",
sos.badge,sos-hotline,HERO,Free Service,Layanan Gratis,
sos.title,sos-hotline,HERO,Email SOS Hotline,Hotline Email SOS,DNT SOS Hotline
sos.subtitle,sos-hotline,HERO,"Free expert guidance for anyone with an email question. No sales pitch. No catch. Just honest answers from a deliverability specialist who gets emails into inboxes for a living.","Panduan ahli gratis untuk siapa saja yang memiliki pertanyaan email. Tidak ada promosi penjualan. Tidak ada jebakan. Hanya jawaban jujur dari spesialis deliverability yang kerjanya memasukkan email ke inbox.",
sos.cta,sos-hotline,HERO,Contact the SOS Hotline,Hubungi Hotline SOS,DNT SOS Hotline
sos.note,sos-hotline,HERO,"Within 48 hours. Often sooner.","Dalam 48 jam. Seringkali lebih cepat.",
sos.how_title,sos-hotline,HOW IT WORKS,How It Works,Cara Kerjanya,
sos.testimonials_title,sos-hotline,TESTIMONIALS,What People Say,Apa Kata Orang,
sos.why_title,sos-hotline,WHY FREE,Why Is This Free?,Mengapa Ini Gratis?,
sos.why_free_p1,sos-hotline,WHY FREE,"We offer real help without charging because it is the right thing to do.","Kami menawarkan bantuan nyata tanpa biaya karena itu adalah hal yang benar untuk dilakukan.",
sos.final_cta_subtext,sos-hotline,FINAL CTA,"Email us. Within 48 hours. Often sooner.","Email kami. Dalam 48 jam. Seringkali lebih cepat.",
sos.how_step1,sos-hotline,HOW IT WORKS,You send an email to the SOS Hotline,Anda mengirim email ke Hotline SOS,DNT SOS Hotline
sos.how_step2,sos-hotline,HOW IT WORKS,You receive an automatic reply confirming we got it,Anda menerima balasan otomatis yang mengonfirmasi bahwa kami menerimanya,
sos.how_step3,sos-hotline,HOW IT WORKS,YT personally reads and responds within 48 hours,Yanna-Torry membacanya secara pribadi dan merespons dalam 48 jam,DNT YT
pricing.sos_desc,pricing,SOS,Free expert support for deliverability questions. No data touched. No list processed. Just honest answers.,Dukungan ahli gratis untuk pertanyaan deliverability. Tidak menyentuh data. Tidak memproses daftar. Hanya jawaban jujur.,
pricing.sos_card_desc,pricing,SOS,"Ask any email question. Get a real answer from a real expert. No sales pitch, no strings attached.","Ajukan pertanyaan email apa pun. Dapatkan jawaban nyata dari ahli nyata. Tidak ada promosi penjualan, tidak ada ikatan.",
pricing.sos_status,pricing,SOS,"Use it before, during, or after cleaning to understand your situation.","Gunakan sebelum, selama, atau setelah pembersihan untuk memahami situasi Anda.",
sos.modal_subtitle,sos-hotline,MODAL,Tell us what's going on and we'll get back to you within 24-48 hours.,Beritahu kami apa yang terjadi dan kami akan menghubungi Anda kembali dalam 24-48 jam.,
sos.topics_headline,sos-hotline,TOPICS,If it touches email, we can help.,Jika itu menyangkut email, kami bisa membantu.,
sos.more_expert_cta,sos-hotline,BRIDGE,See the Process,Lihat Prosesnya,
Key,Page,Section,English,Indonesian,Notes
