Key,Page,English,Arabic
home.step1_title,homepage,Send us your list,أرسل لنا قائمتك
home.step1_desc,homepage,"CSV, Excel, whatever you have. We've seen it all. No judgment, no questions.","CSV، Excel، أياً كان ما لديك. لقد رأينا كل شيء. لا أحكام، لا أسئلة."
home.step2_title,homepage,We review every address,نراجع كل عنوان
home.step2_desc,homepage,"One by one. Looking for bounces, spam traps, disposables, and reputation killers.","واحداً تلو الآخر. نبحث عن الارتدادات، فخاخ السبام، العناوين المؤقتة، وقاتلات السمعة."
home.step3_title,homepage,Get your clean list back,استلم قائمتك النظيفة
home.step3_desc,homepage,With clear labels and a report. You'll know exactly what to do with each address.,مع تسميات واضحة وتقرير. ستعرف بالضبط ما يجب فعله مع كل عنوان.
home.crisis_title,homepage,Crisis Mode?,وضع الأزمة؟
home.crisis_cta,homepage,Email the SOS Hotline,راسل خط الطوارئ SOS
home.final_title,homepage,Ready to know what's in your list?,جاهز لمعرفة ما بداخل قائمتك؟
home.final_cta,homepage,Get My List Cleaned,نظف قائمتي
home.symptoms_title,homepage,Sound familiar?,يبدو مألوفاً؟
home.symptoms_subtitle,homepage,You're not alone. These are the patterns we see every day.,لست وحدك. هذه هي الأنماط التي نراها كل يوم.
home.symptom_1,homepage,<strong>No idea</strong> where half this list came from.,<strong>لا فكرة</strong> من أين جاء نصف هذه القائمة.
home.symptom_2,homepage,One tool says <strong>clean</strong>. Another says <strong>risky</strong>.,أداة تقول <strong>نظيفة</strong>. وأخرى تقول <strong>خطرة</strong>.
home.symptom_3,homepage,"<strong>Scared to remove</strong> subscribers, even the ones who never open.","<strong>خائف من إزالة</strong> المشتركين، حتى الذين لا يفتحون الرسائل أبداً."
home.symptom_4,homepage,Haven't emailed this list in <strong>months</strong>. Afraid to restart.,لم تراسل هذه القائمة منذ <strong>أشهر</strong>. خائف من البدء مجدداً.
home.symptom_5,homepage,Paid for list cleaning <strong>yesterday</strong>. Bounces <strong>today</strong>.,دفعت لتنظيف القائمة <strong>أمس</strong>. ارتدادات <strong>اليوم</strong>.
home.symptom_6,homepage,Open rates <strong>dropped</strong> and nobody can explain why.,معدلات الفتح <strong>انخفضت</strong> ولا أحد يستطيع تفسير السبب.
home.symptom_7,homepage,List keeps <strong>growing</strong>. Revenue <strong>doesn't</strong>.,القائمة تستمر في <strong>النمو</strong>. الإيرادات <strong>لا تنمو</strong>.
home.symptom_8,homepage,"Emails <strong>not inboxing</strong> anymore, going to spam or nowhere at all.","الرسائل <strong>لا تصل للوارد</strong> بعد الآن، تذهب للسبام أو لا تصل أبداً."
home.crisis_subtitle,homepage,"If any of these are true, start here.","إذا كان أي من هذا صحيحاً، ابدأ من هنا."
home.crisis_item_1,homepage,ESP sent a compliance warning or paused your sending.,أرسل مزود الخدمة (ESP) تحذيراً بالامتثال أو أوقف إرسالك مؤقتاً.
home.crisis_item_2,homepage,"Blocklisted, or you think you might be.","في القائمة السوداء، أو تعتقد أنك قد تكون كذلك."
home.crisis_item_3,homepage,Last send spiked bounces. Now everyone's afraid to send again.,آخر إرسال تسبب في ارتفاع الارتدادات. الآن الجميع خائف من الإرسال مجدداً.
home.steps_title,homepage,How we actually work,كيف نعمل فعلياً
home.steps_subtitle,homepage,Simple process. Expert execution. Real results.,عملية بسيطة. تنفيذ خبير. نتائج حقيقية.
home.step1_number,homepage,Step 01,الخطوة 01
home.step2_number,homepage,Step 02,الخطوة 02
home.step3_number,homepage,Step 03,الخطوة 03
home.steps_whisper,homepage,No outsourcing. No AI guesswork. Just experienced eyes on every list.,لا تعهيد خارجي. لا تخمينات ذكاء اصطناعي. فقط عيون خبيرة على كل قائمة.
home.pullquote_text,homepage,"""She cleaned and organized our database with incredible efficiency and set us up for long-term success.""","""لقد نظفت ونظمت قاعدة بياناتنا بكفاءة مذهلة وهيأتنا للنجاح على المدى الطويل."""
home.pullquote_author,homepage,"Sam Cande, UK","سام كاندي، المملكة المتحدة"
home.manifesto_text,homepage,You've probably run your list through a tool before. It said 95% valid. You sent anyway. Bounces happened. That's the gap between validation and understanding.,ربما مررت قائمتك عبر أداة من قبل. قالت 95% صالح. أرسلت على أي حال. حدثت ارتدادات. هذه هي الفجوة بين التحقق والفهم.
home.features_title,homepage,What you actually get,ما تحصل عليه فعلياً
home.feature1_title,homepage,Clear action labels,تسميات عمل واضحة
home.feature1_desc,homepage,"Every email marked Keep, Monitor, or Suppress. No ambiguity, no guessing what to do next.","كل بريد يحمل علامة احتفاظ، مراقبة، أو حجب. لا غموض، لا تخمين لما يجب فعله تالياً."
home.feature2_title,homepage,Detailed reasoning,أسباب مفصلة
home.feature2_desc,homepage,"Not just 'risky', we tell you why. Spam trap patterns, domain issues, behavioral signals.","ليس مجرد 'خطر'، نخبرك لماذا. أنماط فخاخ سبام، مشاكل نطاق، إشارات سلوكية."
home.feature3_title,homepage,Expert interpretation included,تفسير الخبراء مشمول
home.feature3_desc,homepage,"Not just data, context. Every list review includes a walkthrough of your results. I explain what I found, what it means, and exactly what to do next.","ليس مجرد بيانات، بل سياق. كل مراجعة قائمة تتضمن شرحاً لنتائجك. أشرح ما وجدته، وما يعنيه، وما يجب فعله تالياً بالضبط."
home.quiz_cta_title,homepage,Not sure if your list needs this?,لست متأكداً مما إذا كانت قائمتك تحتاج هذا؟
home.quiz_cta_subtext,homepage,"Take a 2-minute self-assessment. Four questions about how you built your list, and we'll tell you what risk level you're probably at.","قم بتقييم ذاتي لمدة دقيقتين. أربعة أسئلة حول كيفية بناء قائمتك، وسنخبرك بمستوى الخطر الذي يحتمل أن تكون فيه."
home.quiz_cta_button,homepage,Take the 2-Minute Risk Check,قم بفحص المخاطر في دقيقتين
home.testimonials_title,homepage,People who trusted us,أشخاص وثقوا بنا
home.testimonials_subtitle,homepage,Real feedback from real senders.,آراء حقيقية من مرسلين حقيقيين.
home.testimonial1_name,homepage,Megan S.,ميجان س.
home.testimonial1_role,homepage,UK,المملكة المتحدة
home.testimonial1_quote,homepage,"""The SOS Hotline gave me extremely helpful guidance. Yanna-Torry cleaned our list and supported us beyond the call.""","""أعطاني خط الطوارئ SOS توجيهاً مفيداً للغاية. قامت يانا-توري بتنظيف قائمتنا ودعمتنا لما هو أبعد من المكالمة."""
home.testimonial2_name,homepage,Chris Mead,كريس ميد
home.testimonial2_role,homepage,UK,المملكة المتحدة
