Key,Page,Section,English,Greek,Notes
home.title,homepage,META & SEO,Review My Emails | Email List Cleaning That Tells You What to Do,Review My Emails | Επαγγελματικός Έλεγχος & Καθαρισμός Λίστας Email,"DNT ""Review My Emails"""
home.meta_desc,homepage,META & SEO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do. Clear labels: Keep, Monitor, Suppress. With the reasoning behind each one.","Τα εργαλεία validation βλέπουν διευθύνσεις. Εμείς βλέπουμε μοτίβα και προβλήματα παραδοσιμότητας. Όχι αυτόματο validation, αλλά ανθρώπινος έλεγχος που σας λέει ακριβώς τι να κάνετε (Keep, Monitor, Suppress).",DNT Keep/Monitor/Suppress
home.og_title,homepage,META & SEO,Review My Emails | Email List Cleaning That Tells You What to Do,Review My Emails | Επαγγελματικός Έλεγχος Λίστας Email,"Same as title, for social sharing"
home.og_desc,homepage,META & SEO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do.","Τα εργαλεία validation βλέπουν διευθύνσεις. Εμείς βλέπουμε μοτίβα. Εντοπίζουμε τον κίνδυνο και σας λέμε ακριβώς τι να κάνετε.",For social sharing
home.hero_badge,homepage,HERO,By Yanna-Torry Aspraki,Από την Yanna-Torry Aspraki,DNT name
home.hero_headline_1,homepage,HERO,Stop guessing what is wrong with your list.,Σταματήστε να μαντεύετε τι πρόβλημα έχει η λίστα σας.,First line of headline
home.hero_headline_2,homepage,HERO,We find the problems tools miss.,Εντοπίζουμε τα προβλήματα που διαφεύγουν από τα εργαλεία.,"Second line, highlighted"
home.hero_subhead,homepage,HERO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do.","Τα εργαλεία validation βλέπουν απλώς διευθύνσεις. Εμείς βλέπουμε μοτίβα και κίνδυνο, λέγοντάς σας ακριβώς τι να κάνετε.",
home.cta_primary,homepage,HERO,Get My List Cleaned,Καθαρίστε τη Λίστα Μου,Main CTA button
home.hero_bridge,homepage,HERO,Most email inboxing and deliverability problems trace back to list quality.,Τα περισσότερα προβλήματα inboxing και deliverability ξεκινούν από την ποιότητα της λίστας.,
home.hero_quiz_prefix,homepage,HERO,Not sure yet?,Δεν είστε σίγουροι;,
home.hero_quiz_link,homepage,HERO,Take the 2-minute risk check,Κάντε τον 2λεπτο έλεγχο κινδύνου,
home.symptoms_title,homepage,SYMPTOMS,Sound familiar?,Σας θυμίζει κάτι;,Section title
home.symptoms_subtitle,homepage,SYMPTOMS,You're not alone. These are the patterns we see every day.,Δεν είστε μόνοι. Αυτά είναι τα μοτίβα που βλέπουμε κάθε μέρα.,
home.symptom_1,homepage,SYMPTOMS,<strong>No idea</strong> where half this list came from.,<strong>Δεν έχετε ιδέα</strong> πώς βρέθηκε εκεί η μισή λίστα.,Bold: No idea
home.symptom_2,homepage,SYMPTOMS,One tool says <strong>clean</strong>. Another says <strong>risky</strong>.,Ένα εργαλείο τη βγάζει <strong>καθαρή</strong>. Ένα άλλο <strong>επικίνδυνη</strong>. Βαδίζετε στα τυφλά.,"Bold: clean, risky"
home.symptom_3,homepage,SYMPTOMS,"<strong>Scared to remove</strong> subscribers, even the ones who never open.","<strong>Διστάζετε να διαγράψετε</strong> συνδρομητές, ακόμα και αυτούς που δεν ανοίγουν ποτέ.",Bold: Scared to remove
