Key,Page,Section,English,Khmer,Notes
home.title,homepage,META & SEO,Review My Emails | Email List Cleaning That Tells You What to Do,Review My Emails | សេវាសម្អាតបញ្ជីអ៊ីមែលដោយអ្នកជំនាញ,"DNT ""Review My Emails"""
home.meta_desc,homepage,META & SEO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do. Clear labels: Keep, Monitor, Suppress. With the reasoning behind each one.",សេវាសម្អាតបញ្ជីអ៊ីមែលដោយអ្នកជំនាញ។ មិនមែន Validation ស្វ័យប្រវត្តិទេ - ការវិភាគដោយដៃដែលរកឃើញ spam traps ទំនាក់ទំនងប្រថុយ និងបញ្ហាដែលប៉ះពាល់កេរ្តិ៍ឈ្មោះរបស់អ្នក។,DNT Keep/Monitor/Suppress
home.og_title,homepage,META & SEO,Review My Emails | Email List Cleaning That Tells You What to Do,Review My Emails | សេវាសម្អាតបញ្ជីអ៊ីមែលដែលប្រាប់អ្នកពីអ្វីដែលត្រូវធ្វើ,"Same as title, for social sharing"
home.og_desc,homepage,META & SEO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do.",ឧបករណ៍ Validation មើលឃើញតែអាសយដ្ឋាន។ យើងមើលឃើញលំនាំ បរិបទ និងហានិភ័យ។ បន្ទាប់មកយើងប្រាប់អ្នកច្បាស់ពីអ្វីដែលត្រូវធ្វើ។,For social sharing
home.hero_badge,homepage,HERO,By Yanna-Torry Aspraki,លើសពី Validation,DNT name
home.hero_headline_1,homepage,HERO,Stop guessing what is wrong with your list.,ឈប់ទស្សន៍ទាយពីអ្វីដែលខុសជាមួយបញ្ជីរបស់អ្នក។,First line of headline
home.hero_headline_2,homepage,HERO,We find the problems tools miss.,យើងរកឃើញបញ្ហាដែលឧបករណ៍មិនអាចរកឃើញ។,"Second line, highlighted"
home.hero_subhead,homepage,HERO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do.","អ្វីដែលអ្នកនឹងទទួលបាន៖ បញ្ជីស្អាតដែលមានស្លាក Keep, Monitor ឬ Suppress—បូកនឹងហេតុផលនៅពីក្រោយនីមួយៗ។",
home.cta_primary,homepage,HERO,Get My List Cleaned,សម្អាតបញ្ជីរបស់ខ្ញុំ,Main CTA button
home.hero_bridge,homepage,HERO,Most email inboxing and deliverability problems trace back to list quality.,បញ្ហា inboxing និង deliverability ភាគច្រើនកើតចេញពីគុណភាពបញ្ជី។,
home.hero_quiz_prefix,homepage,HERO,Not sure yet?,នៅមិនទាន់ប្រាកដ?,
home.hero_quiz_link,homepage,HERO,Take the 2-minute risk check,ធ្វើតេស្តពិនិត្យហានិភ័យ ២នាទី,
home.symptoms_title,homepage,SYMPTOMS,Sound familiar?,ស្គាល់មុខមែនទេ?,Section title
home.symptoms_subtitle,homepage,SYMPTOMS,You're not alone. These are the patterns we see every day.,អ្នកមិនឯកោទេ។ ទាំងនេះជាលំនាំដែលយើងឃើញរាល់ថ្ងៃ។,
home.symptom_1,homepage,SYMPTOMS,<strong>No idea</strong> where half this list came from.,<strong>គ្មានគំនិត</strong>ថាពាក់កណ្តាលបញ្ជីនេះមកពីណា។,Bold: No idea
home.symptom_2,homepage,SYMPTOMS,One tool says <strong>clean</strong>. Another says <strong>risky</strong>.,ឧបករណ៍មួយនិយាយ<strong>ស្អាត</strong>។ មួយទៀតនិយាយ<strong>ហានិភ័យ</strong>។,"Bold: clean, risky"
home.symptom_3,homepage,SYMPTOMS,"<strong>Scared to remove</strong> subscribers, even the ones who never open.",<strong>ខ្លាចដកចេញ</strong>អ្នកជាវ សូម្បីតែអ្នកដែលមិនដែលបើក។,Bold: Scared to remove
home.symptom_4,homepage,SYMPTOMS,Haven't emailed this list in <strong>months</strong>. Afraid to restart.,មិនបានផ្ញើអ៊ីមែលទៅបញ្ជីនេះរយៈពេល<strong>ច្រើនខែ</strong>។ ខ្លាចចាប់ផ្តើមឡើងវិញ។,Bold: months
home.symptom_5,homepage,SYMPTOMS,Paid for list cleaning <strong>yesterday</strong>. Bounces <strong>today</strong>.,បង់ប្រាក់សម្រាប់សម្អាតបញ្ជី<strong>ម្សិលមិញ</strong>។ Bounces <strong>ថ្ងៃនេះ</strong>។,"Bold: yesterday, today"
home.symptom_6,homepage,SYMPTOMS,Open rates <strong>dropped</strong> and nobody can explain why.,អត្រាបើក<strong>ធ្លាក់ចុះ</strong>ហើយគ្មាននរណាអាចពន្យល់ថាហេតុអ្វី។,Bold: dropped
home.symptom_7,homepage,SYMPTOMS,List keeps <strong>growing</strong>. Revenue <strong>doesn't</strong>.,បញ្ជីបន្ត<strong>កើនឡើង</strong>។ ចំណូល<strong>មិនកើន</strong>។,"Bold: growing, doesn't"
home.symptom_8,homepage,SYMPTOMS,"Emails <strong>not inboxing</strong> anymore, going to spam or nowhere at all.",អ៊ីមែល<strong>មិនទៅដល់ inbox ទៀតទេ</strong> ពួកវាទៅ spam ឬគ្មានទីកន្លែង។,Bold: not inboxing
home.crisis_title,homepage,CRISIS,Crisis Mode?,នៅក្នុង blocklist? ការព្រមានពី ESP? កេរ្តិ៍ឈ្មោះធ្លាក់ចុះ?,Box title
home.crisis_subtitle,homepage,CRISIS,"If any of these are true, start here.",ប្រសិនបើណាមួយនេះពិត សូមចាប់ផ្តើមនៅទីនេះ។,
home.crisis_item_1,homepage,CRISIS,ESP sent a compliance warning or paused your sending.,ESP បានផ្ញើការព្រមានអនុលោមភាព ឬផ្អាកការផ្ញើរបស់អ្នក។,
home.crisis_item_2,homepage,CRISIS,"Blocklisted, or you think you might be.",នៅលើ blocklist ឬអ្នកគិតថាអ្នកអាចនឹងនៅ។,
home.crisis_item_3,homepage,CRISIS,Last send spiked bounces. Now everyone's afraid to send again.,ការផ្ញើចុងក្រោយមាន bounces ច្រើន។ ឥឡូវអ្នកទាំងអស់ខ្លាចផ្ញើម្តងទៀត។,
home.crisis_cta,homepage,CRISIS,Email the SOS Hotline,ទទួលជំនួយបន្ទាន់,DNT SOS Hotline
home.steps_title,homepage,STEPS,How we actually work,របៀបដែលយើងធ្វើការពិតប្រាកដ,
home.steps_subtitle,homepage,STEPS,Simple process. Expert execution. Real results.,ដំណើរការសាមញ្ញ។ ការប្រតិបត្តិដោយអ្នកជំនាញ។ លទ្ធផលពិត។,
home.step1_number,homepage,STEPS,Step 01,ជំហាន ០១,
home.step1_title,homepage,STEPS,Send us your list,ផ្ញើបញ្ជីរបស់អ្នក,
home.step1_desc,homepage,STEPS,"CSV, Excel, whatever you have. We've seen it all. No judgment, no questions.",CSV ឬ Excel។ រហូតដល់ 500K អាសយដ្ឋាន។ ការផ្ទេរសុវត្ថិភាពរួមបញ្ចូល។,
home.step2_number,homepage,STEPS,Step 02,ជំហាន ០២,
home.step2_title,homepage,STEPS,We review every address,យើងពិនិត្យដោយដៃ,
home.step2_desc,homepage,STEPS,"One by one. Looking for bounces, spam traps, disposables, and reputation killers.",ការវិភាគគំរូ។ ការរកឃើញអន្ទាក់។ ការវាយតម្លៃហានិភ័យកេរ្តិ៍ឈ្មោះ។ 24-48 ម៉ោង។,
home.step3_number,homepage,STEPS,Step 03,ជំហាន ០៣,
home.step3_title,homepage,STEPS,Get your clean list back,ទទួលបញ្ជីស្អាតរបស់អ្នក,
home.step3_desc,homepage,STEPS,With clear labels and a report. You'll know exactly what to do with each address.,រាល់អាសយដ្ឋានមានស្លាក។ របាយការណ៍ពន្យល់ពេញលេញ។ ការហៅទូរសព្ទណែនាំ 30 នាទី។,
home.steps_whisper,homepage,STEPS,No outsourcing. No AI guesswork. Just experienced eyes on every list.,គ្មានការ outsource។ គ្មានការទស្សន៍ទាយ AI។ គ្រាន់តែភ្នែកដែលមានបទពិសោធន៍លើបញ្ជីនីមួយៗ។,Small text at bottom
home.pullquote_text,homepage,TESTIMONIAL,"""She cleaned and organized our database with incredible efficiency and set us up for long-term success.""","""នាងបានសម្អាត និងរៀបចំមូលដ្ឋានទិន្នន័យរបស់យើងដោយប្រសិទ្ធភាពអស្ចារ្យ ហើយរៀបចំយើងសម្រាប់ភាពជោគជ័យរយៈពេលវែង។""",
home.pullquote_author,homepage,TESTIMONIAL,"Sam Cande, UK","Sam Cande, UK",
home.manifesto_text,homepage,MANIFESTO,You've probably run your list through a tool before. It said 95% valid. You sent anyway. Bounces happened. That's the gap between validation and understanding.,អ្នកប្រហែលជាបានដាក់បញ្ជីរបស់អ្នកតាមឧបករណ៍រួចហើយ។ វានិយាយថា 95% valid។ អ្នកបានផ្ញើទោះបីជាយ៉ាងណា។ Bounces បានកើតឡើង។ នោះគឺជាគម្លាតរវាង validation និងការយល់ដឹង។,
home.features_title,homepage,FEATURES,What you actually get,អ្វីដែលអ្នកពិតជាទទួលបាន,
home.feature1_title,homepage,FEATURES,Clear action labels,ស្លាកសកម្មភាពច្បាស់លាស់,
home.feature1_desc,homepage,FEATURES,"Every email marked Keep, Monitor, or Suppress. No ambiguity, no guessing what to do next.","អ៊ីមែលនីមួយៗត្រូវបានដាក់ស្លាក Keep, Monitor ឬ Suppress។ គ្មានភាពមិនច្បាស់លាស់ គ្មានការសង្ស័យពីអ្វីដែលត្រូវធ្វើបន្ទាប់។",DNT Keep/Monitor/Suppress
home.feature2_title,homepage,FEATURES,Detailed reasoning,ហេតុផលលម្អិត,
home.feature2_desc,homepage,FEATURES,"Not just 'risky', we tell you why. Spam trap patterns, domain issues, behavioral signals.","មិនមែនគ្រាន់តែ 'ហានិភ័យ' ទេ យើងប្រាប់អ្នកថាហេតុអ្វី។ លំនាំ spam trap, បញ្ហា domain, សញ្ញាអាកប្បកិរិយា។",
home.feature3_title,homepage,FEATURES,Expert interpretation included,ការបកស្រាយដោយអ្នកជំនាញរួមបញ្ចូល,
home.feature3_desc,homepage,FEATURES,"Not just data, context. Every list review includes a walkthrough of your results. I explain what I found, what it means, and exactly what to do next.",មិនមែនគ្រាន់តែទិន្នន័យទេ បរិបទ។ ការពិនិត្យបញ្ជីនីមួយៗរួមបញ្ចូលការពន្យល់លទ្ធផល។ ខ្ញុំពន្យល់ពីអ្វីដែលខ្ញុំរកឃើញ អត្ថន័យរបស់វា និងអ្វីដែលត្រូវធ្វើបន្ទាប់ទៀត។,
home.quiz_cta_title,homepage,QUIZ CTA,Not sure if your list needs this?,មិនប្រាកដថាបញ្ជីរបស់អ្នកត្រូវការនេះទេ?,
home.quiz_cta_subtext,homepage,QUIZ CTA,"Take a 2-minute self-assessment. Four questions about how you built your list, and we'll tell you what risk level you're probably at.",ធ្វើការវាយតម្លៃខ្លួនឯង ២នាទី។ សំណួរបួនអំពីរបៀបដែលអ្នកបានបង្កើតបញ្ជីរបស់អ្នក ហើយយើងនឹងប្រាប់អ្នកថាអ្នកប្រហែលជានៅកម្រិតហានិភ័យណា។,
home.quiz_cta_button,homepage,QUIZ CTA,Take the 2-Minute Risk Check,ធ្វើការពិនិត្យហានិភ័យ ២នាទី,
home.testimonials_title,homepage,TESTIMONIALS,People who trusted us,មនុស្សដែលបានទុកចិត្តយើង,
home.testimonials_subtitle,homepage,TESTIMONIALS,Real feedback from real senders.,មតិកែលម្អពិតពីអ្នកផ្ញើពិត។,
home.testimonial1_name,homepage,TESTIMONIALS,Megan S.,Megan S.,
home.testimonial1_role,homepage,TESTIMONIALS,UK,UK,
home.testimonial1_quote,homepage,TESTIMONIALS,"""The SOS Hotline gave me extremely helpful guidance. Yanna-Torry cleaned our list and supported us beyond the call.""","""SOS Hotline បានផ្តល់ឱ្យខ្ញុំនូវការណែនាំដែលមានប្រយោជន៍ខ្លាំង។ Yanna-Torry បានសម្អាតបញ្ជីរបស់យើង ហើយគាំទ្រយើងលើសពីការរំពឹងទុក។""","DNT SOS Hotline, Yanna-Torry"
home.testimonial2_name,homepage,TESTIMONIALS,Chris Mead,Chris Mead,
home.testimonial2_role,homepage,TESTIMONIALS,UK,UK,
home.testimonial2_quote,homepage,TESTIMONIALS,"""Real human expertise. Tailor-made solutions. Not an AI tool.""","""ជំនាញមនុស្សពិត។ ដំណោះស្រាយផ្ទាល់ខ្លួន។ មិនមែនឧបករណ៍ AI ទេ។""",
home.testimonial3_name,homepage,TESTIMONIALS,Adeola Sole,Adeola Sole,
